,Unnamed: 0,IMPAQ_ID,REI,DBA Name,Address Line 1,Address Line 2,City,State,Zip,Latitude,Longitude,Full Address,matchsource,est_id,found_pic,Manual Result,name_update,addr_update,lat_update,lon_update,biz_status,DBA Name_update,Full Address_update,Latitude_update,Longitude_update,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,Address Line 1_update,City_update,State_update,Zip_update,County,County_update,match_id,SoS_record,entity,agent_name,agent_address,agent_city,agent_state,agent_zip
26,1681,1681,WA745769,MNB SMOKES,70 RODEO TRAIL,,OKANOGAN,WA,98840,48.369353,-119.563566,"70 RODEO TRAIL  OKANOGAN, WA 98840",Original,1681.0,,,Correct,"70 Rodeo Trail Rd, Okanogan, WA 98840, USA",48.3661949,-119.5696611,Active,MNB SMOKES,"70 Rodeo Trail Rd, Okanogan, WA 98840, USA",48.366194899999996,-119.5696611,POINT (-119.5696611 48.3661949),Yes,0.0,Colville,Colville Reservation,,,From Original List,,,,,,70 RODEO TRAIL RD,OKANOGAN,WA,98840,,OKANOGAN,,,,,,,,
27,1682,1682,WA745770,OKANAGAN BINGO CASINO,41 APPLEWAY,,OKANOGAN,WA,98840,48.351018,-119.589697,"41 APPLEWAY  OKANOGAN, WA 98840",Original,1682.0,,,Correct,Correct,Correct,Correct,Closed,OKANAGAN BINGO CASINO,"41 APPLEWAY OKANOGAN, WA 98840",48.351017999999996,-119.589697,POINT (-119.589697 48.351018),Yes,0.0,Colville,Colville Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,OKANOGAN,,,,,,,,
28,1683,1683,WA745771,OMAK MARKET,602 S JACKSON ST,,OMAK,WA,98841,48.402989,-119.512419,"602 S JACKSON ST  OMAK, WA 98841",Original,1683.0,1.0,yes,Correct,"1 N Main St, Omak, WA 98841, USA",48.4110008,-119.5286072,Active,OMAK MARKET,"1 N Main St, Omak, WA 98841, USA",48.4110008,-119.5286072,POINT (-119.5286072 48.4110008),No,0.114552238,,,Colville,Colville Reservation,From Original List,,,,,,1 N MAIN ST,OMAK,WA,98841,,OKANOGAN,,604090624,MAIN STREET MARKET NATURAL FOODS LLC,VALERIE  MCCOY,  ,,,
29,1684,1684,WA745772,SHORT STOP CONVENIENCE STORE,3032 BRIDGE CREEK RD.,,INCHELIUM,WA,99138,48.29566,-118.210964,"3032 BRIDGE CREEK RD.  INCHELIUM, WA 99138",Original,1684.0,,,Correct,Correct,Correct,Correct,Active,SHORT STOP CONVENIENCE STORE,"3032 BRIDGE CREEK RD. INCHELIUM, WA 99138",48.29566,-118.21096399999999,POINT (-118.210964 48.29566),Yes,0.0,Colville,Colville Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,FERRY,,,,,,,,
30,1685,1685,WA745773,SPELEM SMOKE SHOP,3 LAKE AVE,,NESPELEM,WA,99155,48.131,-118.9749,"3 LAKE AVE  NESPELEM, WA 99155",Original,1685.0,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,SPELEM SMOKE SHOP,"3 LAKE AVE NESPELEM, WA 99155",48.131,-118.9749,POINT (-118.9749 48.131),Yes,0.0,Colville,Colville Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,OKANOGAN,,,,,,,,
31,1686,1686,WA745774,STOGIE SHOP INC.,875 OMAK AVE.,,OMAK,WA,98841,48.410825,-119.527598,"875 OMAK AVE.  OMAK, WA 98841",Original,1686.0,,,Correct,Correct,Correct,Correct,Active,STOGIE SHOP INC.,"875 OMAK AVE. OMAK, WA 98841",48.410825,-119.527598,POINT (-119.527598 48.410825),No,0.047661329,,,Colville,Colville Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,OKANOGAN,,,,,,,,
32,1687,1687,WA745775,THE TRADING POST,HWY. 155,,NESPELEM,WA,99155,48.16575,-118.9794,"HWY. 155  NESPELEM, WA 99155",Original,1687.0,1.0,yes,COLVILLE TRIBES TRADING POST,Correct,Correct,Correct,Active,COLVILLE TRIBES TRADING POST,"HWY. 155 NESPELEM, WA 99155",48.16575,-118.9794,POINT (-118.9794 48.16575),Yes,0.0,Colville,Colville Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,OKANOGAN,,,,,,,,
33,1688,1688,WA745776,TRIBAL TRAILS TRUCK STOP,29078 US-97,,OMAK,WA,98841,48.39873,-119.5244,"29078 US-97  OMAK, WA 98841",Original,1688.0,,,Correct,Correct,Correct,Correct,Active,TRIBAL TRAILS TRUCK STOP,"29078 US-97 OMAK, WA 98841",48.39873,-119.5244,POINT (-119.5244 48.39873),Yes,0.0,Colville,Colville Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,OKANOGAN,,,,,,,,
34,1689,1689,WA746066,7-ELEVEN,611 W 1ST AVE.,,TOPPENISH,WA,98948,46.375086,-120.319315,"611 W 1ST AVE.  TOPPENISH, WA 98948",Original,1689.0,,,Correct,Correct,Correct,Correct,Active,7-ELEVEN,"611 W 1ST AVE. TOPPENISH, WA 98948",46.375085999999996,-120.31931499999999,POINT (-120.319315 46.375086),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,YAKIMA,,,,,,,,
35,1690,1690,WA746067,ALLEN'S MARKET,160 S WAPATO RD.,,WAPATO,WA,98951,46.430792,-120.417421,"160 S WAPATO RD.  WAPATO, WA 98951",Original,1690.0,,,Correct,Correct,Correct,Correct,Active,ALLEN'S MARKET,"160 S WAPATO RD. WAPATO, WA 98951",46.430792,-120.41742099999999,POINT (-120.417421 46.430792),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,YAKIMA,,,,,,,,
36,1691,1691,WA746068,BLUE SKY MARKET,116 CEHEHALIS AVE.,,TOPPENISH,WA,98948,46.380266,-120.308487,"116 CEHEHALIS AVE.  TOPPENISH, WA 98948",Original,1691.0,,,Correct,"116 Chehalis Ave, Toppenish, WA 98948, USA",46.380241,-120.3090719,Active,BLUE SKY MARKET,"116 Chehalis Ave, Toppenish, WA 98948, USA",46.380241,-120.3090719,POINT (-120.3090719 46.38024100000001),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,116 CHEHALIS AVE,TOPPENISH,WA,98948,,YAKIMA,,,,,,,,
37,1692,1692,WA746069,CHEVRON,907 W 1ST AVE.,,TOPPENISH,WA,98948,46.375059,-120.327539,"907 W 1ST AVE.  TOPPENISH, WA 98948",Original,1692.0,,,Correct,Correct,Correct,Correct,Closed,CHEVRON,"907 W 1ST AVE. TOPPENISH, WA 98948",46.375059,-120.32753899999999,POINT (-120.327539 46.375059),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,YAKIMA,,,,,,,,
38,1693,1693,WA746070,CROSSROAD MARKET,4621 N TRACK RD.,,WAPATO,WA,98951,46.449692,-120.418335,"4621 N TRACK RD.  WAPATO, WA 98951",Original,1693.0,,,Correct,Correct,Correct,Correct,Active,CROSSROAD MARKET,"4621 N TRACK RD. WAPATO, WA 98951",46.449692,-120.41833500000001,POINT (-120.418335 46.449692),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,YAKIMA,,,,,,,,
39,1694,1694,WA746071,DA STORE AT LILLIES' CORNER,50 W WAPATO RD.,,WAPATO,WA,98951,46.447919,-120.431414,"50 W WAPATO RD.  WAPATO, WA 98951",Original,1694.0,1.0,yes,Correct,Correct,Correct,Correct,Active,DA STORE AT LILLIES' CORNER,"50 W WAPATO RD. WAPATO, WA 98951",46.447919,-120.43141399999999,POINT (-120.431414 46.447919),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,YAKIMA,,,,,,,,
40,1695,1695,WA746072,GENERAL STORE (CONOCO),505 W 1ST AVE.,,TOPPENISH,WA,98948,46.375094,-120.317755,"505 W 1ST AVE.  TOPPENISH, WA 98948",Original,1695.0,,,Correct,Correct,Correct,Correct,Active,GENERAL STORE (CONOCO),"505 W 1ST AVE. TOPPENISH, WA 98948",46.375094,-120.317755,POINT (-120.317755 46.375094),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,YAKIMA,,,,,,,,
41,1696,1696,WA746074,HAROLD'S GENERAL MERCHANDISE,4080 HARRAH RD.,,HARRAH,WA,98951,46.403399,-120.544206,"4080 HARRAH RD.  HARRAH, WA 98951",Original,1696.0,,,Correct,"4080 Harrah Rd, Harrah, WA 98933, USA",46.4037935,-120.5443913,Active,HAROLD'S GENERAL MERCHANDISE,"4080 Harrah Rd, Harrah, WA 98933, USA",46.4037935,-120.5443913,POINT (-120.5443913 46.4037935),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,4080  RD,HARRAH,WA,98933,,YAKIMA,,,,,,,,
42,1697,1697,WA746075,INTERNATIONAL MARKET,512 W 1ST ST.,,WAPATO,WA,98951,46.447861,-120.425867,"512 W 1ST ST.  WAPATO, WA 98951",Original,1697.0,,,Correct,Correct,Correct,Correct,Active,INTERNATIONAL MARKET,"512 W 1ST ST. WAPATO, WA 98951",46.447860999999996,-120.425867,POINT (-120.425867 46.447861),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,YAKIMA,,,,,,,,
43,1698,1698,WA746076,KILE'S KORNER,2421 W WAPATO RD.,,WAPATO,WA,98951,46.448067,-120.480359,"2421 W WAPATO RD.  WAPATO, WA 98951",Original,1698.0,1.0,yes,Correct,Correct,Correct,Correct,Active,KILE'S KORNER,"2421 W WAPATO RD. WAPATO, WA 98951",46.448067,-120.480359,POINT (-120.480359 46.448067),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,YAKIMA,,,,,,,,
44,1699,1699,WA746077,LA VILLA MARKET,218 S WAPATO AVE.,,WAPATO,WA,98951,46.446263,-120.419904,"218 S WAPATO AVE.  WAPATO, WA 98951",Original,1699.0,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,LA VILLA MARKET,"218 S WAPATO AVE. WAPATO, WA 98951",46.446263,-120.419904,POINT (-120.419904 46.446263),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,YAKIMA,,,,,,,,
45,1700,1700,WA746078,ROADRUNNER,705 W 1ST ST.,,WAPATO,WA,98951,46.447834,-120.428047,"705 W 1ST ST.  WAPATO, WA 98951",Original,1700.0,,,Correct,Correct,Correct,Correct,Active,ROADRUNNER,"705 W 1ST ST. WAPATO, WA 98951",46.447834,-120.42804699999999,POINT (-120.428047 46.447834),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,YAKIMA,,,,,,,,
46,1701,1701,WA746079,SAFEWAY,711 W 1ST AVE.,,TOPPENISH,WA,98948,46.375082,-120.32141,"711 W 1ST AVE.  TOPPENISH, WA 98948",Original,1701.0,,,Correct,Correct,Correct,Correct,Active,SAFEWAY,"711 W 1ST AVE. TOPPENISH, WA 98948",46.375082,-120.32141000000001,POINT (-120.32141 46.375082),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,YAKIMA,,,,,,,,
47,1702,1702,WA746080,TOPP STOP TEXACO,321 S ELM ST,,TOPPENISH,WA,98948,46.375307,-120.319741,"321 S ELM ST  TOPPENISH, WA 98948",Original,1702.0,,,Correct,Correct,Correct,Correct,Active,TOPP STOP TEXACO,"321 S ELM ST TOPPENISH, WA 98948",46.375307,-120.319741,POINT (-120.319741 46.375307),Yes,0.0,Yakama Nation,Yakama Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,YAKIMA,,,,,,,,
