,Unnamed: 0,IMPAQ_ID,DBA Name,Address Line 1,Address Line 2,City,State,Zip,Latitude,Longitude,Full Address,matchsource,est_id,found_pic,Manual Result,name_update,addr_update,lat_update,lon_update,biz_status,DBA Name_update,Full Address_update,Latitude_update,Longitude_update,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,Address Line 1_update,City_update,State_update,Zip_update,County,County_update,entity,agent_name,agent_address,agent_city,agent_state,agent_zip,SoS_record
10,10,10,WIND CREEK CASINO AND HOTEL,100 RIVER OAKS DR.,,WETUMPKA,AL,36092,32.525201,-86.209727,"100 RIVER OAKS DR.  WETUMPKA, AL 36092",Original,10.0,1.0,yes,WIND CREEK WETUMPKA,Correct,Correct,Correct,Active,WIND CREEK WETUMPKA,"100 RIVER OAKS DR. WETUMPKA, AL 36092",32.525201,-86.209727,POINT (-86.209727 32.525201),No,0.07027858619742616,,,Poarch Creek,Poarch Creek Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,ELMORE,,,,,,,
11,11,11,Poarch Creek Indians Convenience/Creek Travel Plaza,4740 JACK SPRINGS RD.,,ATMORE,AL,36502,31.086001,-87.538763,"4740 JACK SPRINGS RD.  ATMORE, AL 36502",Original,11.0,,,Correct,Correct,Correct,Correct,Active,Poarch Creek Indians Convenience/Creek Travel Plaza,"4740 JACK SPRINGS RD. ATMORE, AL 36502",31.086001,-87.538763,POINT (-87.538763 31.086001),No,0.9369209504522502,,,Poarch Creek,Poarch Creek Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,ESCAMBIA,,,,,,,
12,12,12,F & M CIGARS,8860 MINNIE BROWN RD,,MONTGOMERY,AL,36117,32.361886,-86.139049,"8860 MINNIE BROWN RD  MONTGOMERY, AL 36117",Original,12.0,1.0,yes,Correct,Correct,Correct,Correct,Active,F & M CIGARS,"8860 MINNIE BROWN RD MONTGOMERY, AL 36117",32.361886,-86.139049,POINT (-86.139049 32.361886),No,4.1356716819359916,,,Poarch Creek,Poarch Creek Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,,MONTGOMERY,,,,,,,
13,13,13,SPEAKEASY CIGARS & SPIRITS LLC,162 MOSLEY ST,,ATMORE,AL,36502,31.027618,-87.482712,"162 MOSLEY ST  ATMORE, AL 36502",Original,13.0,,,Correct,"501 E Baars St, Pensacola, FL 32503, USA",30.443291100000003,-87.2146681,Active,SPEAKEASY CIGARS & SPIRITS LLC,"501 E Baars St, Pensacola, FL 32503, USA",30.443291100000003,-87.2146681,POINT (-87.2146681 30.4432911),No,42.05902196817153,,,Poarch Creek,Poarch Creek Off-Reservation Trust Land,From Original List,,,,,,501 E BAARS ST,PENSACOLA,FL,32503,,ESCAMBIA,,,,,,,
14,14,14,TOBACCO ROAD LIMITED,2073 COLISEUM BLVD,,MONTGOMERY,AL,36110,32.420231,-86.268651,"2073 COLISEUM BLVD  MONTGOMERY, AL 36110",Original,14.0,1.0,yes,Correct,Correct,Correct,Correct,Active,TOBACCO ROAD LIMITED,"2073 COLISEUM BLVD MONTGOMERY, AL 36110",32.420231,-86.268651,POINT (-86.26865100000001 32.420231),No,7.925054413514212,,,Poarch Creek,Poarch Creek Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,MONTGOMERY,,,,,,,
15,15,15,HANK'S TRADING POST,NORTH HIGHWAY 89 MP 446,,FLAGSTAFF,AZ,86004,35.35924931,-111.5703507,"NORTH HIGHWAY 89 MP 446  FLAGSTAFF, AZ 86004",Original,15.0,,,Correct,"31926 North, US-89, Flagstaff, AZ 86004, USA",35.59349220000001,-111.5274097,Active,HANK'S TRADING POST,"31926 North, US-89, Flagstaff, AZ 86004, USA",35.59349220000001,-111.5274097,POINT (-111.5274097 35.59349220000001),No,3.5726987668050665,,,Navajo Nation,Navajo Nation Reservation,From Original List,,,,,,31926 NORTH US-89,FLAGSTAFF,AZ,86004,COCONINO,COCONINO,,,,,,,
16,16,16,DESERT VIEW TRADING POST,DESERT VIEW,,GRAND CANYON,AZ,86023,36.040386,-111.82805,"DESERT VIEW  GRAND CANYON, AZ 86023",Original,16.0,1.0,yes,DESERT VIEW TRADING POST AND ICE CREAM,Correct,Correct,Correct,Active,DESERT VIEW TRADING POST AND ICE CREAM,"DESERT VIEW GRAND CANYON, AZ 86023",36.040386,-111.82805,POINT (-111.82805 36.040386),No,4.435547043390828,,,Navajo Nation,Navajo Nation Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,COCONINO,COCONINO,,,,,,,
17,17,17,WOODY'S,23505  MOHAVE RD,,PARKER,AZ,85344,33.99004826,-114.4003922,"23505  MOHAVE RD  PARKER, AZ 85344",Original,17.0,,,Correct,Correct,Correct,Correct,Active,WOODY'S,"23505  MOHAVE RD PARKER, AZ 85344",33.99004826,-114.4003922,POINT (-114.4003922 33.99004826),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,LA PAZ,LA PAZ,,,,,,,
18,18,18,TERRIBLES HERBST,1001 S CALIFORNIA AVE,,PARKER,AZ,85344,34.15008385,-114.2885119,"1001 S CALIFORNIA AVE  PARKER, AZ 85344",Original,18.0,,,Correct,Correct,Correct,Correct,Active,TERRIBLES HERBST,"1001 S CALIFORNIA AVE PARKER, AZ 85344",34.15008385,-114.2885119,POINT (-114.2885119 34.15008385),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,LA PAZ,LA PAZ,,,,,,,
19,19,19,SMOKERS FRIENDLY #31,820 CALIFORNIA ST,,PARKER,AZ,85344,34.15209361,-114.2902916,"820 CALIFORNIA ST  PARKER, AZ 85344",Original,19.0,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,SMOKERS FRIENDLY #31,"820 CALIFORNIA ST PARKER, AZ 85344",34.15209361,-114.2902916,POINT (-114.2902916 34.15209361),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,LA PAZ,LA PAZ,,,,,,,
20,20,20,LITTLE BROWN JUG,900 S CALIFORNIA AVE,,PARKER,AZ,85344,34.15131721,-114.2898102,"900 S CALIFORNIA AVE  PARKER, AZ 85344",Original,20.0,,,Correct,Correct,Correct,Correct,Active,LITTLE BROWN JUG,"900 S CALIFORNIA AVE PARKER, AZ 85344",34.15131721,-114.2898102,POINT (-114.2898102 34.15131721),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,LA PAZ,LA PAZ,,,,,,,
21,21,21,LAKE MANOR GROCERY,10142 RIVERSIDE DR,,PARKER,AZ,85344,34.18554032,-114.22585359999998,"10142 RIVERSIDE DR  PARKER, AZ 85344",Original,21.0,,,LAKE MANOR MARKET,Correct,Correct,Correct,Closed,LAKE MANOR MARKET,"10142 RIVERSIDE DR PARKER, AZ 85344",34.18554032,-114.22585359999998,POINT (-114.2258536 34.18554032),No,0.16718460722757464,,,Colorado River,Colorado River Indian Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,LA PAZ,LA PAZ,,,,,,,
22,22,22,CIRCLE K,1516 S CALIFORNIA AVE,,PARKER,AZ,85344,34.14518762,-114.286023,"1516 S CALIFORNIA AVE  PARKER, AZ 85344",Original,22.0,,,Correct,Correct,Correct,Correct,Active,CIRCLE K,"1516 S CALIFORNIA AVE PARKER, AZ 85344",34.14518762,-114.286023,POINT (-114.286023 34.14518762),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,LA PAZ,LA PAZ,,,,,,,
23,23,23,CIRCLE K,8861  RIVERSIDE DR,,PARKER,AZ,85344,34.19988831,-114.2193001,"8861  RIVERSIDE DR  PARKER, AZ 85344",Original,23.0,,,Correct,Correct,Correct,Correct,Active,CIRCLE K,"8861  RIVERSIDE DR PARKER, AZ 85344",34.19988831,-114.2193001,POINT (-114.2193001 34.19988831),No,0.8226834923606182,,,Colorado River,Colorado River Indian Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,LA PAZ,LA PAZ,,,,,,,
24,24,24,CHEVRON/FOOD MART,6822 EAST WILLIAMS FIELD ROAD,,MESA,AZ,85212,33.30726283,-111.6860213,"6822 EAST WILLIAMS FIELD ROAD  MESA, AZ 85212",Original,24.0,1.0,yes,Correct,Correct,Correct,Correct,Active,CHEVRON/FOOD MART,"6822 EAST WILLIAMS FIELD ROAD MESA, AZ 85212",33.30726283,-111.6860213,POINT (-111.6860213 33.30726283),No,6.703941166831398,,,Gila River,Gila River Indian Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,MARICOPA,MARICOPA,,,,,,,
25,25,25,OWL EAR SMOKE SHOP,9211 E VIA DE VENTURA,,SCOTTSDALE,AZ,85258,33.55339059,-111.8826432,"9211 E VIA DE VENTURA  SCOTTSDALE, AZ 85258",Original,25.0,,,Correct,"9211 East Vía de Ventura, Scottsdale, AZ 85258, USA",33.5527669,-111.88208329999999,Active,OWL EAR SMOKE SHOP,"9211 East Vía de Ventura, Scottsdale, AZ 85258, USA",33.5527669,-111.88208329999999,POINT (-111.8820833 33.5527669),Yes,0.0,Salt River,Salt River Reservation,,,From Original List,,,,,,9211 EAST VÍA DE VENTURA,SCOTTSDALE,AZ,85258,MARICOPA,MARICOPA,,,,,,,
26,26,26,BEST BUY MARKET,8892  HIGHWAY 95,,MOHAVE VALLEY,AZ,86440,34.89831978,-114.5972942,"8892  HIGHWAY 95  MOHAVE VALLEY, AZ 86440",Original,26.0,1.0,yes,BEST BUY MARKET -NOT AN ELECTRONICS STORE,"8828 AZ-95, Mohave Valley, AZ 86440, USA",34.89854629999999,-114.5972987,Active,BEST BUY MARKET -NOT AN ELECTRONICS STORE,"8828 AZ-95, Mohave Valley, AZ 86440, USA",34.89854629999999,-114.5972987,POINT (-114.5972987 34.89854629999999),No,0.041134057126736255,,,Fort Mojave,Fort Mojave Reservation,From Original List,,,,,,8828 -95,MOHAVE VALLEY,AZ,86440,MOHAVE,MOHAVE,,,,,,,
27,27,27,ARCO AM/PM,10001 HARBOR AVE,,MOHAVE VALLEY,AZ,86440,34.86571936,-114.5999112,"10001 HARBOR AVE  MOHAVE VALLEY, AZ 86440",Original,27.0,,,Correct,Correct,Correct,Correct,Active,ARCO AM/PM,"10001 HARBOR AVE MOHAVE VALLEY, AZ 86440",34.86571936,-114.5999112,POINT (-114.5999112 34.86571936),No,0.027728931561398558,,,Fort Mojave,Fort Mojave Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,MOHAVE,MOHAVE,,,,,,,
28,28,28,YAVAPAI SMOKE SHOP,1501 E GURLEY ST,,PRESCOTT,AZ,86305,34.54360564,-112.4927912,"1501 E GURLEY ST  PRESCOTT, AZ 86305",Original,28.0,,,Correct,"1841 E State Route 69, Prescott, AZ 86301, USA",34.548957,-112.432604,Active,YAVAPAI SMOKE SHOP,"1841 E State Route 69, Prescott, AZ 86301, USA",34.548957,-112.432604,POINT (-112.432604 34.548957),Yes,0.0,Yavapai-Prescott,Yavapai-Prescott Reservation,,,From Original List,,,,,,1841 E STATE ROUTE 69,PRESCOTT,AZ,86301,YAVAPAI,YAVAPAI,,,,,,,
29,29,29,COCOPAH KORNER,15126 S AVE. B,,YUMA,AZ,85365,32.61966834,-114.6496628,"15126 S AVE. B  YUMA, AZ 85365",Original,29.0,,,Correct,"15126 S Avenue B, Somerton, AZ 85350, USA",32.6107858,-114.6499024,Active,COCOPAH KORNER,"15126 S Avenue B, Somerton, AZ 85350, USA",32.6107858,-114.6499024,POINT (-114.6499024 32.6107858),Yes,0.0,Cocopah,Cocopah Reservation,,,From Original List,,,,,,15126 S AVENUE B,SOMERTON,AZ,85350,YUMA,YUMA,,,,,,,
30,30,30,APACHE KID SMOKE SHOP,4935 N PUSHER DR,,RIMROCK,AZ,86335,34.640953,-111.78368,"4935 N PUSHER DR  RIMROCK, AZ 86335",Original,30.0,,,Correct,"4935 Pusher St, Rimrock, AZ 86335, USA",34.6408638,-111.7838075,Closed,APACHE KID SMOKE SHOP,"4935 Pusher St, Rimrock, AZ 86335, USA",34.6408638,-111.7838075,POINT (-111.7838075 34.6408638),Yes,0.0,Yavapai-Apache Nation,Yavapai-Apache Nation Reservation,,,From Original List,,,,,,4935 PUSHER ST,RIMROCK,AZ,86335,YAVAPAI,YAVAPAI,,,,,,,
31,31,31,FORT MOJAVE SMOKE SHOP,8501 SOUTH HIGHWAY 95,,MOHAVE VALLEY,AZ,86440,34.90964063,-114.5979083,"8501 SOUTH HIGHWAY 95  MOHAVE VALLEY, AZ 86440",Original,31.0,1.0,yes,FORT MOJAVE SMOKESHOP,"8501 AZ-95, Mohave Valley, AZ 86440, USA",34.90928220000001,-114.59839129999999,Active,FORT MOJAVE SMOKESHOP,"8501 AZ-95, Mohave Valley, AZ 86440, USA",34.90928220000001,-114.59839129999999,POINT (-114.5983913 34.90928220000001),Yes,0.0,Fort Mojave,Fort Mojave Reservation,,,From Original List,,,,,,8501 -95,MOHAVE VALLEY,AZ,86440,MOHAVE,MOHAVE,,,,,,,
32,32,32,SHELL,4001 N PIMA RD,,SCOTTSDALE,AZ,85251,33.494434000000005,-111.89118,"4001 N PIMA RD  SCOTTSDALE, AZ 85251",Original,32.0,,,Correct,Correct,Correct,Correct,Active,SHELL,"4001 N PIMA RD SCOTTSDALE, AZ 85251",33.494434000000005,-111.89118,POINT (-111.89118 33.49443400000001),Yes,0.0,Salt River,Salt River Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,MARICOPA,MARICOPA,,,,,,,
33,33,33,YAVAPAI INDIAN SMOKE SHOP,1841 E HIGHWAY 69,FRONTIER VILLAGE CENTER,PRESCOTT,AZ,86301,34.54984283,-112.4370422,"1841 E HIGHWAY 69 FRONTIER VILLAGE CENTER PRESCOTT, AZ 86301",Original,33.0,,,Correct,Correct,Correct,Correct,Active,YAVAPAI INDIAN SMOKE SHOP,"1841 E HIGHWAY 69 PRESCOTT, AZ 86301",34.54984283,-112.4370422,POINT (-112.4370422 34.54984283),Yes,0.0,Yavapai-Prescott,Yavapai-Prescott Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,YAVAPAI,YAVAPAI,,,,,,,
34,34,34,JR'S CONVENIENCE STORE,1601 N BEELINE HWY,,SCOTTSDALE,AZ,85256,33.4665184,-111.8432007,"1601 N BEELINE HWY  SCOTTSDALE, AZ 85256",Original,34.0,1.0,yes,Correct,Correct,Correct,Correct,Active,JR'S CONVENIENCE STORE,"1601 N BEELINE HWY SCOTTSDALE, AZ 85256",33.4665184,-111.8432007,POINT (-111.8432007 33.4665184),Yes,0.0,Salt River,Salt River Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,MARICOPA,MARICOPA,,,,,,,
35,35,35,7 2 11 #27,417 MAIN ST.,,TUBA CITY,AZ,86045,36.125297,-111.236398,"417 MAIN ST.  TUBA CITY, AZ 86045",Original,35.0,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,7 2 11 #27,"417 MAIN ST. TUBA CITY, AZ 86045",36.125297,-111.236398,POINT (-111.236398 36.125297),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,COCONINO,,,,,,,
36,36,36,7211 #31 FT. DEFIANCE,NAVAJO RTE. 12,,FORT DEFIANCE,AZ,86504,33.39215469,-111.6327896,"NAVAJO RTE. 12  FORT DEFIANCE, AZ 86504",Original,36.0,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,7211 #31 FT. DEFIANCE,"NAVAJO RTE. 12 FORT DEFIANCE, AZ 86504",33.39215469,-111.6327896,POINT (-111.6327896 33.39215469),No,7.793299990799628,,,Salt River,Salt River Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,MARICOPA,,,,,,,
37,37,37,7-ELEVEN,230 R.R.,,KAYENTA,AZ,86033,36.90800476,-111.4552002,"230 R.R.  KAYENTA, AZ 86033",Original,37.0,,,Correct,Correct,Correct,Correct,Closed,7-ELEVEN,"230 R.R. KAYENTA, AZ 86033",36.90800476,-111.4552002,POINT (-111.4552002 36.90800476),No,1.9931439469066683,,,Navajo Nation,Navajo Nation Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,COCONINO,,,,,,,
38,38,38,7-ELEVEN,HWY. 160 & HWY. 163,,KAYENTA,AZ,86033,34.64115906,-111.7825394,"HWY. 160 & HWY. 163  KAYENTA, AZ 86033",Original,38.0,,,Correct,"7291 S Las Vegas Blvd, Las Vegas, NV 89119, USA",36.0572398,-115.17282150000001,Active,7-ELEVEN,"7291 S Las Vegas Blvd, Las Vegas, NV 89119, USA",36.0572398,-115.17282150000001,POINT (-115.1728215 36.0572398),No,8.526421996504983,,,Las Vegas,Las Vegas Indian Colony,From Original List,,,,,,7291 S  BLVD,LAS VEGAS,NV,89119,,CLARK,,,,,,,
39,39,39,7-ELEVEN,417 MAIN ST.,,TUBA CITY,AZ,86045,36.125297,-111.236398,"417 MAIN ST.  TUBA CITY, AZ 86045",Original,39.0,,,Correct,Correct,Correct,Correct,Active,7-ELEVEN,"417 MAIN ST. TUBA CITY, AZ 86045",36.125297,-111.236398,POINT (-111.236398 36.125297),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,COCONINO,,,,,,,
40,40,40,7-ELEVEN,HWY. 191,,MANY FARMS,AZ,86538,36.352802,-109.61797,"HWY. 191  MANY FARMS, AZ 86538",Original,40.0,1.0,yes,Correct,Correct,Correct,Correct,Active,7-ELEVEN,"HWY. 191 MANY FARMS, AZ 86538",36.352802,-109.61797,POINT (-109.61797 36.352802),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,APACHE,,,,,,,
41,41,41,AKIMEL FOOD TOBACCO,4231 WEST RIGGS ROAD,,CHANDLER,AZ,85248,33.218227,-111.86645,"4231 WEST RIGGS ROAD  CHANDLER, AZ 85248",Original,41.0,,,AKIMEL SMOKE SHOP,Correct,Correct,Correct,Active,AKIMEL SMOKE SHOP,"4231 WEST RIGGS ROAD CHANDLER, AZ 85248",33.218227,-111.86645,POINT (-111.86645 33.218227),No,0.9505337846365368,,,Gila River,Gila River Indian Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,MARICOPA,,,,,,,
42,42,42,APACHE GOLD CASINO CHEVRON,HWY. 70,,SAN CARLOS,AZ,85550,33.83747101,-111.6406555,"HWY. 70  SAN CARLOS, AZ 85550",Original,42.0,1.0,yes,APACHE GOLD CASINO RESORT,Correct,Correct,Correct,Active,APACHE GOLD CASINO RESORT,"HWY. 70 SAN CARLOS, AZ 85550",33.83747101,-111.6406555,POINT (-111.6406555 33.83747101),No,7.890474284612802,,,Fort McDowell Yavapai Nation,Fort McDowell Yavapai Nation Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,MARICOPA,,,,,,,
43,43,43,BAJA GAS STATION,10180 N. FORT MCDOWELL RD.,,FORT MCDOWELL,AZ,85264,33.579136,-111.677533,"10180 N. FORT MCDOWELL RD.  FORT MCDOWELL, AZ 85264",Original,43.0,,,Correct,Correct,Correct,Correct,Active,BAJA GAS STATION,"10180 N. FORT MCDOWELL RD. FORT MCDOWELL, AZ 85264",33.579136,-111.677533,POINT (-111.677533 33.579136),Yes,0.0,Fort McDowell Yavapai Nation,Fort McDowell Yavapai Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,MARICOPA,,,,,,,
44,44,44,BALDWIN MINI MARKET,NAVAJO RT. 7,,CHINLE,AZ,86503,36.123495,-109.4847788,"NAVAJO RT. 7  CHINLE, AZ 86503",Google,44.0,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,BALDWIN MINI MARKET,"NAVAJO RT. 7 CHINLE, AZ 86503",36.123495,-109.4847788,POINT (-109.4847788 36.123495),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,APACHE,,,,,,,
45,45,45,BASHAS,1020 W. AZ DR.,,PARKER,AZ,85344,34.14674,-114.288846,"1020 W. AZ DR.  PARKER, AZ 85344",Original,45.0,,,Correct,"1020 W Arizona Ave, Parker, AZ 85344, USA",34.147022,-114.2896637,Closed,BASHAS,"1020 W Arizona Ave, Parker, AZ 85344, USA",34.147022,-114.2896637,POINT (-114.2896637 34.147022),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,,1020 W ARIZONA AVE,PARKER,AZ,85344,,LA PAZ,,,,,,,
