IMPAQ_ID,Filing Number,Entity Name,Entity Mailing Address,Entity Store Address,Entity Address,Agent Name,Agent Address,Operation Status,matchsource,Longitude,Latitude
187,200815110172,"LA CHICANITA MARKET, LLC",,88740 70TH AVE  THERMAL CA 92274,88740 70TH AVE  THERMAL CA 92274,,,CANCELED,Census,-114.634674,32.73837
189,C1854224,"HUB LIQUOR, INC.",2118 WINTERHAVEN DRIVE  WINTERHAVEN CA 92283,2118 WINTERHAVEN DRIVE  WINTERHAVEN CA 92283,2118 WINTERHAVEN DRIVE  WINTERHAVEN CA 92283,GARY ALLEN JAMES,2118 WINTERHAVEN DRIVE WINTERHAVEN CA 92283,DISSOLVED,Census,-118.44718999999999,34.288154999999996
189,C3625835,"HUB LIQUOR, INC.",1542 SAN FERNANDO RD  SAN FERNANDO CA 91340,1542 SAN FERNANDO RD  SAN FERNANDO CA 91340,1542 SAN FERNANDO RD  SAN FERNANDO CA 91340,FAYAD TAKLA,1542 SAN FERNANDO RD SAN FERNANDO CA 91340,ACTIVE,Census,-121.294556,38.636257
206,C3165684,IONE PLAZA MARKET INC.,8924 FAIR OAKS BLVD  CARMICHAEL CA 95608,8924 FAIR OAKS BLVD  CARMICHAEL CA 95608,8924 FAIR OAKS BLVD  CARMICHAEL CA 95608,FRED AZARABADI,8924 FAIR OAKS BLVD CARMICHAEL CA 95608,ACTIVE,Google,-122.3809838,40.5292097
212,C2170876,WIN RIVER MINI MART CORPORATION,2000 REDDING RANCHERIA RD  REDDING CA 96001,2415 S BONNEYVIEW DR  REDDING CA 96001,2415 S BONNEYVIEW DR  REDDING CA 96001,NEAL MALMESTEN,2000 REDDING RANCHERIA RD REDDING CA 96001,ACTIVE,Google,-120.047453,35.8907811
216,C3420874,EAGLE FEATHER TRADING POST #2 INC.,40103 HIGHWAY 33  KETTLEMAN CITY CA 93239,,40103 HIGHWAY 33  KETTLEMAN CITY CA 93239,FRED GRUND,780 YOWLUMNE AVE STE A PORTERVILLE CA 93257,DISSOLVED,Google,-121.891648,37.333738399999994
221,C2725075,"COYOTE VALLEY ALLIANCE, INC.",95 S MARKET ST THIRD FL  SAN JOSE CA 95113,95 S MARKET ST THIRD FL  SAN JOSE CA 95113,95 S MARKET ST THIRD FL  SAN JOSE CA 95113,RANDY O WRIGHT,95 S MARKET ST THIRD FL SAN JOSE CA 95113,DISSOLVED,Census,-122.55541000000001,38.79937
221,C2643690,"COYOTE VALLEY BIBLE FELLOWSHIP, INC.",19139 HIDDEN VALLEY ROAD  HIDDEN VALLEY LAKE CA 95467,19139 HIDDEN VALLEY ROAD  HIDDEN VALLEY LAKE CA 95467,19139 HIDDEN VALLEY ROAD  HIDDEN VALLEY LAKE CA 95467,KENNETH D. PHILLIPS,19139 HIDDEN VALLEY ROAD HIDDEN VALLEY LAKE CA 95467,DISSOLVED,Census,-122.56447,38.802334
221,C2727090,"COYOTE VALLEY CONSTRUCTION, INC.",18595 DEER HOLLOW RD  HIDDEN VALLEY LAKE CA 95467,18595 DEER HOLLOW RD  HIDDEN VALLEY LAKE CA 95467,18595 DEER HOLLOW RD  HIDDEN VALLEY LAKE CA 95467,MICHAEL H SAND,18595 DEER HOLLOW RD HIDDEN VALLEY LAKE CA 95467,DISSOLVED,Google,-122.539924,38.796124
221,C1644732,"COYOTE VALLEY DEVELOPMENT, INCORPORATED",P.O. BOX 7  MIDDLETOWN CA 95461,19953 HONEY HILL DRIVE  MIDDLETOWN CA 95461,19953 HONEY HILL DRIVE  MIDDLETOWN CA 95461,RICHARD P WOLFF,19953 HONEY HILL DRIVE MIDDLETOWN CA 95461,DISSOLVED,Census,-121.79508999999999,37.251255
221,C2245597,"COYOTE VALLEY ELECTRIC, INC.",5542 MONTERY RD 130  SAN JOSE CA 95138,5542 MONTERY RD 130  SAN JOSE CA 95138,5542 MONTERY RD 130  SAN JOSE CA 95138,MARK HASSON,1127 S GAFFEY ST SAN PEDRO CA 90731,FTB SUSPENDED,Census,-121.96942,37.29675
221,C0773485,"COYOTE VALLEY LANDOWNERS' ASSOCIATION, INC.",1477 HARTLEY CT.  SAN JOSE CA 95130,,1477 HARTLEY CT.  SAN JOSE CA 95130,,,FTB SUSPENDED,Census,-115.99422,32.737457
221,C0293885,COYOTE VALLEY MUTUAL WATER COMPANY,PO BOX 126  OCOTILLO CA 92259,1161 IMPERIAL HWY  OCOTILLO CA 92259,1161 IMPERIAL HWY  OCOTILLO CA 92259,MICHAEL PETERSON,1175 BOUNDARY AVE OCOTILLO CA 92259,ACTIVE,Census,-121.67582,37.164703
221,C2974179,COYOTE VALLEY NURSERY INC.,315 KIRBY AVE  MORGAN HILL CA 95037,315 KIRBY AVE  MORGAN HILL CA 95037,315 KIRBY AVE  MORGAN HILL CA 95037,MARIO P SILVA,315 KIRBY AVE MORGAN HILL CA 95037,ACTIVE,Census,-122.12404,37.4461
221,C2673620,COYOTE VALLEY SHARPSHOOTERS,2369 SAINT FRANCIS DRIVE  PALO ALTO CA 94303-3136,2369 SAINT FRANCIS DRIVE  PALO ALTO CA 94303-3136,2369 SAINT FRANCIS DRIVE  PALO ALTO CA 94303-3136,DEBRA LAVERGNE,2369 SAINT FRANCIS DRIVE PALO ALTO CA 94303-3136,DISSOLVED,Census,-121.988914,37.22582
221,C4216500,COYOTE VALLEY SPORT FLYERS,32 PERALTA AVE  LOS GATOS CA 95030,32 PERALTA AVE  LOS GATOS CA 95030,32 PERALTA AVE  LOS GATOS CA 95030,MARK LIVINGSTON WAINWRIGHT,32 PERALTA AVE LOS GATOS CA 95030,ACTIVE,Census,-112.01908,33.509785
221,200106110110,"CDST-COYOTE VALLEY, LLC",,2903 E. CAMELBACK RD STE 155  PHOENIX AZ 85016,2903 E. CAMELBACK RD STE 155  PHOENIX AZ 85016,CT CORPORATION SYSTEM,* ,CANCELED,Census,-122.07398,37.69446
221,201405210184,COYOTE CASTRO VALLEY LLC,20885 REDWOOD RD #304  CASTRO VALLEY CA 94546,20885 REDWOOD RD #304  CASTRO VALLEY CA 94546,20885 REDWOOD RD #304  CASTRO VALLEY CA 94546,DOUGLAS J ABELES,20885 REDWOOD RD #304 CASTRO VALLEY CA 94546,ACTIVE,Google,-81.3621617,28.6279448
221,200222700002,"COYOTE VALLEY (SAN JOSE) GP, L.P.",,431 E HORATIO AVE STE 210 %AVANTI PROPER  MAITLAND FL 32751,431 E HORATIO AVE STE 210 %AVANTI PROPER  MAITLAND FL 32751,WILLIAM L STEEL,"18881 VON KARMAN AVE SUITE 1400, SAMUELS & STEEL LLP IRVINE CA 92612",CANCELED,Google,-81.3621617,28.6279448
221,200219900002,"COYOTE VALLEY (SAN JOSE) PIP IV, L.P.",,431 E HORATIO AVE STE 210 %AVANTI PROPER  MAITLAND FL 32751,431 E HORATIO AVE STE 210 %AVANTI PROPER  MAITLAND FL 32751,WILLIAM L STEEL,"%SAMUELS 7 STEEL, LLCP, 18881 VON KARMAN AVENUE SUITE 1400 IRVINE CA 92612",CANCELED,Census,-118.44227,37.365970000000004
221,200010310082,"COYOTE VALLEY AGGREGATE, LLC",,3579 RANCH VIWEW LANE  BISHOP CA 93514,3579 RANCH VIWEW LANE  BISHOP CA 93514,D. RICHARD CHEESEMAN,3579 RANCH VIEW LANE BISHOP CA 93514,CANCELED,Google,-121.891648,37.333738399999994
221,200423010005,"COYOTE VALLEY ALLIANCE FOR SMART PLANNING, LLC",,"95 SOUTH MARKET ST., THIRD FLOOR  SAN JOSE CA 95113","95 SOUTH MARKET ST., THIRD FLOOR  SAN JOSE CA 95113",RANDY O. WRIGHT,"95 SOUTH MARKET ST., THIRD FLOOR SAN JOSE CA 95113",CANCELED,Google,-123.21111599999999,39.253231
221,201703400011,COYOTE VALLEY HOMES I LIMITED PARTNERSHIP,7601 N STATE ST  REDWOOD VALLEY CA 95470,7601 N STATE ST  REDWOOD VALLEY CA 95470,7601 N STATE ST  REDWOOD VALLEY CA 95470,MICHAEL HUNTER,7601 N STATE ST REDWOOD VALLEY CA 95470,ACTIVE,Census,-122.18166000000001,37.47862
221,198433100069,"COYOTE VALLEY LEASING, A CALIFORNIA LIMITED PARTNERSHIP",,4085 CAMPBELL AVE.  MENLO PARK CA 94025,4085 CAMPBELL AVE.  MENLO PARK CA 94025,JOE P. CRITCHFIELD,4085 CAMPBELL AVE. MENLO PARK CA 94025,ACTIVE,Census,-122.40078000000001,37.789658
221,199829610013,"COYOTE VALLEY MANAGERS, LLC",,575 MARKET ST 35TH FL  SAN FRANCISCO CA 94105,575 MARKET ST 35TH FL  SAN FRANCISCO CA 94105,,,CANCELED,Census,-122.69978,38.44822
221,200622610116,"COYOTE VALLEY PROFESSIONAL CENTER, LLC",,1612 FOURTH ST.  SANTA ROSA CA 95404,1612 FOURTH ST.  SANTA ROSA CA 95404,MARK D. JORDAN,1612 FOURTH ST. SANTA ROSA CA 95404,FTB SUSPENDED,Census,-119.321625,36.193478000000006
224,C4067380,"11TH STREET CHEVRON, INC.",1294 DALTON STREET  TULARE CA 93274,1294 DALTON STREET  TULARE CA 93274,1294 DALTON STREET  TULARE CA 93274,MUSSA M KAID,1294 DALTON STREET TULARE CA 93274,ACTIVE,Census,-117.66250600000001,34.15634
224,C1152140,ADAM'S CHEVRON SERVICE,2505 PRIMROSE LANE  UPLAND CA 91786,2505 PRIMROSE LANE  UPLAND CA 91786,2505 PRIMROSE LANE  UPLAND CA 91786,ALBERT ADAM,2505 PRIMROSE LANE UPLAND CA 91786,DISSOLVED,Google,-121.3799439,38.44300629999999
224,C3311410,"ADOBE ROAD CHEVRON, INC.",8747 SHASTA LILY WAY  ELK GROVE CA 95758,8747 SHASTA LILY WAY  ELK GROVE CA 95758,8747 SHASTA LILY WAY  ELK GROVE CA 95758,** RESIGNED ON 01/29/2018,* ,FTB SUSPENDED,Census,-119.16269,34.196144
224,C0964842,"AIRPORT CHEVRON AND TOWING, INC.",561 BUENA VISTA AVE  OXNARD CA 93030-5103,561 BUENA VISTA AVE  OXNARD CA 93030-5103,561 BUENA VISTA AVE  OXNARD CA 93030-5103,GARY LEE NORRIS,561 BUENA VISTA AVE OXNARD CA 93030-5103,ACTIVE,Census,-122.35157,40.548744
224,C1022774,"AL JENSEN CHEVRON, INC.",1056 LORRAINE DR  REDDING CA 96002,1056 LORRAINE DR  REDDING CA 96002,1056 LORRAINE DR  REDDING CA 96002,A E JENSEN,1056 LORRAINE DR REDDING CA 96002,DISSOLVED,Google,-84.389488,33.791638
224,C0580001,"ALDERSON'S CHEVRON STATION, INC.",,,,,,FTB SUSPENDED,Google,-117.0101902,32.770088
224,C1094286,"ALLIED GARDENS CHEVRON, INC.",8692 LA MESA BLVD  LA MESA CA 92041,,8692 LA MESA BLVD  LA MESA CA 92041,CHESLEY J GENTRY,88 VALLECITO WY CHULA VISTA CA 92010,DISSOLVED,Census,-118.1821,33.889103000000006
224,C2527546,"ALONDRA CHEVRON, INC.",840 N BROADWAY STE 202  LA CA 90012,6602 ALONDRA BL  PARAMOUNT CA 90723,6602 ALONDRA BL  PARAMOUNT CA 90723,SANG M LIM,6602 ALONDRA BL PARAMOUNT CA 90723,DISSOLVED,Census,-118.13115,34.190273
224,C4230553,"ALTADENA CHEVRON SERVICE CENTER, INC.",907 E ALTADENA DR  ALTADENA CA 91001,907 E ALTADENA DR  ALTADENA CA 91001,907 E ALTADENA DR  ALTADENA CA 91001,FAWZI FAKHOURY,5819 TEMPLE CITY BLVD TEMPLE CITY CA 91780,ACTIVE,Census,-120.54256399999998,41.493507
224,C3433863,ALTURAS CHEVRON INC.,1080 N MAIN ST  ALTURAS CA 96101,1080 N MAIN ST  ALTURAS CA 96101,1080 N MAIN ST  ALTURAS CA 96101,MANPREET SINGH KAHLON,153 COLLEGE HILL WAY YUBA CITY CA 95993,ACTIVE,Google,-117.04761119999999,32.7691371
224,198432100004,"70TH STREET CHEVRON, A CALIFORNIA LIMITED PARTNERSHIP",,6992 EL CAJON BLVD.  SAN DIEGO CA 92115,6992 EL CAJON BLVD.  SAN DIEGO CA 92115,HILBERT MURILLO,6992 EL CAJON BLVD. SAN DIEGO CA 92115,ACTIVE,Census,-118.39233999999999,34.031279999999995
224,200214010053,"ADLY'S CHEVRON, LLC",,9030 NATIONAL BLVD  LOS ANGELES CA 90034,9030 NATIONAL BLVD  LOS ANGELES CA 90034,ADLY ABDELMALAK,9030 NATIONAL BLVD LOS ANGELES CA 90034,CANCELED,Census,-117.0869,32.782852
224,198422900099,"ADOBE FALLS CHEVRON SERVICE, A CALIFORNIA LIMITED PARTNERSHIP",,4525 WARING RD.  SAN DIEGO CA 92120,4525 WARING RD.  SAN DIEGO CA 92120,DENNIS LAMBERT SWANSON,2215 LINCOLN AVE. SAN DIEGO CA 92104,ACTIVE,Google,-117.8804619,33.838604700000005
224,198415600154,BOB RISNER CHEVRON,,2501 EAST LINCOLN  ANAHEIM CA 92800,2501 EAST LINCOLN  ANAHEIM CA 92800,KEITH VAN HOESEN,5992 WESTMINSTER AVENUE WESTMINSTER CA 92683,CANCELED,Google,-121.2294362,40.309168400000004
224,200807400009,CHESTER CHEVRON L.P.,,225 MAIN STREET  CHESTER CA 96020,225 MAIN STREET  CHESTER CA 96020,MAIN SINGH,16 E SIERRA STREET PORTOLA CA 96122,ACTIVE,Census,-122.40078000000001,37.789658
224,199733510017,CHEVRON CHEMICAL COMPANY LLC,,575 MARKET STREET  SAN FRANCISCO CA 94105,575 MARKET STREET  SAN FRANCISCO CA 94105,H P WALKER,575 MARKET STREET SAN FRANCISCO  94105,CANCELED,Census,-118.48151000000001,34.032692
224,198418200727,CHEVRON CONSTRUCTION CO,,"2120 WILSHIRE BLVD,. STE. 200  SANTA MONICA CA 90403","2120 WILSHIRE BLVD,. STE. 200  SANTA MONICA CA 90403",MARIO MORY,"2120 WILSHIRE BLVD., STE. 200 SANTA MONICA CA 90403",CANCELED,Census,-121.95988999999999,37.761497
224,199931410061,CHEVRON EBUSINESS DEVELOPMENT COMPANY LLC,,6001 BOLILNGER CANYON ROAD  SAN RAMON CA 94583,6001 BOLILNGER CANYON ROAD  SAN RAMON CA 94583,THE PRENTICE-HALL CORPORATION SYSTEM INC,* ,CANCELED,Census,-122.40078000000001,37.789658
224,200015200015,CHEVRON ENERGY SOLUTIONS L.P.,,575 MARKET ST  SAN FRANCISCO CA 94105,575 MARKET ST  SAN FRANCISCO CA 94105,,,CANCELED,Census,-121.95988999999999,37.761497
224,199914010075,CHEVRON EUROPEAN HOLDINGS LLC,6001 BOLLINGER CANYON RD V2322A  SAN RAMON CA 94583,6001 BOLLINGER CANYON RD  SAN RAMON CA 94583,6001 BOLLINGER CANYON RD  SAN RAMON CA 94583,,,CANCELED,Census,-119.321625,36.193478000000006
231,C4067380,"11TH STREET CHEVRON, INC.",1294 DALTON STREET  TULARE CA 93274,1294 DALTON STREET  TULARE CA 93274,1294 DALTON STREET  TULARE CA 93274,MUSSA M KAID,1294 DALTON STREET TULARE CA 93274,ACTIVE,Census,-117.66250600000001,34.15634
231,C1152140,ADAM'S CHEVRON SERVICE,2505 PRIMROSE LANE  UPLAND CA 91786,2505 PRIMROSE LANE  UPLAND CA 91786,2505 PRIMROSE LANE  UPLAND CA 91786,ALBERT ADAM,2505 PRIMROSE LANE UPLAND CA 91786,DISSOLVED,Google,-121.3799439,38.44300629999999
231,C3311410,"ADOBE ROAD CHEVRON, INC.",8747 SHASTA LILY WAY  ELK GROVE CA 95758,8747 SHASTA LILY WAY  ELK GROVE CA 95758,8747 SHASTA LILY WAY  ELK GROVE CA 95758,** RESIGNED ON 01/29/2018,* ,FTB SUSPENDED,Census,-119.16269,34.196144
231,C0964842,"AIRPORT CHEVRON AND TOWING, INC.",561 BUENA VISTA AVE  OXNARD CA 93030-5103,561 BUENA VISTA AVE  OXNARD CA 93030-5103,561 BUENA VISTA AVE  OXNARD CA 93030-5103,GARY LEE NORRIS,561 BUENA VISTA AVE OXNARD CA 93030-5103,ACTIVE,Census,-122.35157,40.548744
231,C1022774,"AL JENSEN CHEVRON, INC.",1056 LORRAINE DR  REDDING CA 96002,1056 LORRAINE DR  REDDING CA 96002,1056 LORRAINE DR  REDDING CA 96002,A E JENSEN,1056 LORRAINE DR REDDING CA 96002,DISSOLVED,Google,-84.389488,33.791638
231,C0580001,"ALDERSON'S CHEVRON STATION, INC.",,,,,,FTB SUSPENDED,Google,-117.0101902,32.770088
231,C1094286,"ALLIED GARDENS CHEVRON, INC.",8692 LA MESA BLVD  LA MESA CA 92041,,8692 LA MESA BLVD  LA MESA CA 92041,CHESLEY J GENTRY,88 VALLECITO WY CHULA VISTA CA 92010,DISSOLVED,Census,-118.1821,33.889103000000006
231,C2527546,"ALONDRA CHEVRON, INC.",840 N BROADWAY STE 202  LA CA 90012,6602 ALONDRA BL  PARAMOUNT CA 90723,6602 ALONDRA BL  PARAMOUNT CA 90723,SANG M LIM,6602 ALONDRA BL PARAMOUNT CA 90723,DISSOLVED,Census,-118.13115,34.190273
231,C4230553,"ALTADENA CHEVRON SERVICE CENTER, INC.",907 E ALTADENA DR  ALTADENA CA 91001,907 E ALTADENA DR  ALTADENA CA 91001,907 E ALTADENA DR  ALTADENA CA 91001,FAWZI FAKHOURY,5819 TEMPLE CITY BLVD TEMPLE CITY CA 91780,ACTIVE,Census,-120.54256399999998,41.493507
231,C3433863,ALTURAS CHEVRON INC.,1080 N MAIN ST  ALTURAS CA 96101,1080 N MAIN ST  ALTURAS CA 96101,1080 N MAIN ST  ALTURAS CA 96101,MANPREET SINGH KAHLON,153 COLLEGE HILL WAY YUBA CITY CA 95993,ACTIVE,Google,-117.04761119999999,32.7691371
231,198432100004,"70TH STREET CHEVRON, A CALIFORNIA LIMITED PARTNERSHIP",,6992 EL CAJON BLVD.  SAN DIEGO CA 92115,6992 EL CAJON BLVD.  SAN DIEGO CA 92115,HILBERT MURILLO,6992 EL CAJON BLVD. SAN DIEGO CA 92115,ACTIVE,Census,-118.39233999999999,34.031279999999995
231,200214010053,"ADLY'S CHEVRON, LLC",,9030 NATIONAL BLVD  LOS ANGELES CA 90034,9030 NATIONAL BLVD  LOS ANGELES CA 90034,ADLY ABDELMALAK,9030 NATIONAL BLVD LOS ANGELES CA 90034,CANCELED,Census,-117.0869,32.782852
231,198422900099,"ADOBE FALLS CHEVRON SERVICE, A CALIFORNIA LIMITED PARTNERSHIP",,4525 WARING RD.  SAN DIEGO CA 92120,4525 WARING RD.  SAN DIEGO CA 92120,DENNIS LAMBERT SWANSON,2215 LINCOLN AVE. SAN DIEGO CA 92104,ACTIVE,Google,-117.8804619,33.838604700000005
231,198415600154,BOB RISNER CHEVRON,,2501 EAST LINCOLN  ANAHEIM CA 92800,2501 EAST LINCOLN  ANAHEIM CA 92800,KEITH VAN HOESEN,5992 WESTMINSTER AVENUE WESTMINSTER CA 92683,CANCELED,Google,-121.2294362,40.309168400000004
231,200807400009,CHESTER CHEVRON L.P.,,225 MAIN STREET  CHESTER CA 96020,225 MAIN STREET  CHESTER CA 96020,MAIN SINGH,16 E SIERRA STREET PORTOLA CA 96122,ACTIVE,Census,-122.40078000000001,37.789658
231,199733510017,CHEVRON CHEMICAL COMPANY LLC,,575 MARKET STREET  SAN FRANCISCO CA 94105,575 MARKET STREET  SAN FRANCISCO CA 94105,H P WALKER,575 MARKET STREET SAN FRANCISCO  94105,CANCELED,Census,-118.48151000000001,34.032692
231,198418200727,CHEVRON CONSTRUCTION CO,,"2120 WILSHIRE BLVD,. STE. 200  SANTA MONICA CA 90403","2120 WILSHIRE BLVD,. STE. 200  SANTA MONICA CA 90403",MARIO MORY,"2120 WILSHIRE BLVD., STE. 200 SANTA MONICA CA 90403",CANCELED,Census,-121.95988999999999,37.761497
231,199931410061,CHEVRON EBUSINESS DEVELOPMENT COMPANY LLC,,6001 BOLILNGER CANYON ROAD  SAN RAMON CA 94583,6001 BOLILNGER CANYON ROAD  SAN RAMON CA 94583,THE PRENTICE-HALL CORPORATION SYSTEM INC,* ,CANCELED,Census,-122.40078000000001,37.789658
231,200015200015,CHEVRON ENERGY SOLUTIONS L.P.,,575 MARKET ST  SAN FRANCISCO CA 94105,575 MARKET ST  SAN FRANCISCO CA 94105,,,CANCELED,Census,-121.95988999999999,37.761497
231,199914010075,CHEVRON EUROPEAN HOLDINGS LLC,6001 BOLLINGER CANYON RD V2322A  SAN RAMON CA 94583,6001 BOLLINGER CANYON RD  SAN RAMON CA 94583,6001 BOLLINGER CANYON RD  SAN RAMON CA 94583,,,CANCELED,Census,-119.7723,36.804035
232,C3023181,''SAN JOAQUIN VALLEY CLEAN ENERGY ORGANIZATION'',"4747 N. FIRST STREET, SUITE 140  FRESNO CA 93726","4747 N. FIRST STREET, SUITE 140  FRESNO CA 93726","4747 N. FIRST STREET, SUITE 140  FRESNO CA 93726",COURTNEY BLORE KALASHIAN,"4747 N. FIRST STREET, SUITE 140 FRESNO CA 93726",ACTIVE,Census,-92.64706,45.05247
232,C3551313,AMERICAN CLEAN ENERGY FOUNDATION,769 132ND AVE  HUDSON WI 54016,769 132ND AVE  HUDSON WI 54016,769 132ND AVE  HUDSON WI 54016,,,SOS/FTB SUSPENDED,Google,-78.478702,38.0321842
232,C3500091,"APEX CLEAN ENERGY, INC.","310 4TH STREET NE, STE 200  CHARLOTTESVILLE VA 22902","310 4TH STREET NE, STE 200  CHARLOTTESVILLE VA 22902","310 4TH STREET NE, STE 200  CHARLOTTESVILLE VA 22902",,,SURRENDER,Census,-71.05984000000001,42.35901
232,C3262210,"ASIA CLEAN ENERGY INNOVATION INITIATIVE, INC.","CATF, 18 TREMONT ST STE 530STE 530  BOSTON MA 02108",,"CATF, 18 TREMONT ST STE 530STE 530  BOSTON MA 02108",,,DISSOLVED,Google,-117.70576799999999,33.664494700000006
232,C2600472,"AUS CLEAN ENERGY SERVICES, INC.",9371 IRVINE BOULEVARD  IRVINE CA 92618,9371 IRVINE BOULEVARD  IRVINE CA 92618,9371 IRVINE BOULEVARD  IRVINE CA 92618,WESLEY L DAVIS,15707 ROCKFIELD BOULEVARD SUITE 205 IRVINE CA 92618,DISSOLVED,Google,-117.85542679999999,33.691512200000005
232,C3830281,BCI CLEAN ENERGY INC.,3440 WILSHIRE BLVD STE 807  LOS ANGELES CA 90010,17831 SKY PARK CIRCLE STE H  IRVINE CA 92614,17831 SKY PARK CIRCLE STE H  IRVINE CA 92614,STANLEY CHA,3440 WILSHIRE BLVD STE 807 LOS ANGELES CA 90010,ACTIVE,Census,-121.75317,38.56503
232,C3035099,CALIFORNIA CLEAN ENERGY COMMITTEE,503 DEL ORO AVE  DAVIS CA 95616,503 DEL ORO AVE  DAVIS CA 95616,503 DEL ORO AVE  DAVIS CA 95616,EUGENE SAMUEL WILSON,503 DEL ORO AVE DAVIS CA 95616,ACTIVE,Census,-122.27042,37.80405
232,C2655705,CALIFORNIA CLEAN ENERGY FUND,436 14TH ST. STE. 1220  OAKLAND CA 94612,436 14TH ST. STE. 1220  OAKLAND CA 94612,436 14TH ST. STE. 1220  OAKLAND CA 94612,DANIEL IAN KENNEDY,436 14TH ST. STE. 1220 OAKLAND CA 94612,ACTIVE,Google,-118.28014950000001,33.9704896
232,C3162834,CALIFORNIANS FOR A CLEAN ENERGY FUTURE,350 S GRAND AVE_25TH FL  LOS ANGELES CA 90071-1503,,350 S GRAND AVE_25TH FL  LOS ANGELES CA 90071-1503,,,DISSOLVED,Census,-122.152626,37.72285
232,C2847750,CALIFORNIANS FOR CLEAN ENERGY,201 DOLORES AVENUE  SAN LEANDRO CA 94577,201 DOLORES AVENUE  SAN LEANDRO CA 94577,201 DOLORES AVENUE  SAN LEANDRO CA 94577,JAMES C. HARRISON,201 DOLORES AVENUE SAN LEANDRO CA 94577,DISSOLVED,Google,-119.0089392,35.370951399999996
232,201420910365,50/50 CLEAN ENERGY LLC,PO BOX 26  BAKERSFIELD CA 93302,1401 S ST STE 223  BAKERSFIELD CA 93301,1401 S ST STE 223  BAKERSFIELD CA 93301,,,FTB SUSPENDED,Google,-122.4600586,38.29063970000001
232,200836210018,ADAM CAPITAL CLEAN ENERGY ASSET FINANCE LLC,,579 1ST ST WEST  SONOMA CA 95476,579 1ST ST WEST  SONOMA CA 95476,ADAM BOUCHER,579 1ST ST WEST SONOMA CA 95476,SOS FORFEITED,Google,-122.4600586,38.29063970000001
