IMPAQ_ID,doc_types,doc_date
2336,"['2019 Annual Report', 'Articles of Correction', 'Officer/Director/Shareholder Change', 'Statement of Change - Corps', '2018 Annual Report', 'Officer/Director/Shareholder Change', 'Officer/Director/Shareholder Change', 'Statement of Change - Corps', '2017 Annual Report', '2016 Annual Report', 'Website_Record']",2019
2342,"['2019 Annual Report', 'Articles of Correction', 'Officer/Director/Shareholder Change', 'Statement of Change - Corps', '2018 Annual Report', 'Officer/Director/Shareholder Change', 'Officer/Director/Shareholder Change', 'Statement of Change - Corps', '2017 Annual Report', '2016 Annual Report', 'Website_Record']",2019
2377,"['2019 Annual Report', 'Articles of Correction', 'Officer/Director/Shareholder Change', 'Statement of Change - Corps', '2018 Annual Report', 'Officer/Director/Shareholder Change', 'Officer/Director/Shareholder Change', 'Statement of Change - Corps', '2017 Annual Report', '2016 Annual Report', 'Website_Record']",2019
2577,"['2009 Annual Report', '2008 Annual Report', 'Affidavit of Publication', 'Articles of Incorporation - For-Profit', 'Website_Record']",2009
2714,"['2018 Annual Report', '2017 Annual Report', '2016 Annual Report', '2015 Annual Report', 'Officer/Director/Shareholder Change', 'Statement of Change - Corps', '2014 Annual Report', '2013 Annual Report', '2012 Annual Report', 'Statement of Change - Corps', 'Website_Record']",2018
2798,"['Articles of Organization', 'Website_Record']",2014
2877,"['Articles of Termination', 'Affidavit of Publication', 'Articles of Organization', 'Website_Record']",2012
3051,"['Miscellaneous Document', 'Application for Registration', 'Website_Record']",2015
3069,"['2019 Annual Report', 'Articles of Correction', 'Officer/Director/Shareholder Change', 'Statement of Change - Corps', '2018 Annual Report', 'Officer/Director/Shareholder Change', 'Officer/Director/Shareholder Change', 'Statement of Change - Corps', '2017 Annual Report', '2016 Annual Report', 'Website_Record']",2019
3110,"['2011 Annual Report', '2010 Annual Report', '2009 Annual Report', 'Statement of Change - Corps', '2008 Annual Report', '2007 Annual Report', 'Affidavit of Publication', 'Articles of Incorporation - For-Profit', 'Website_Record']",2011
3244,"['Application for Registration', 'Website_Record']",2018
