IMPAQ_ID,Filing Number,Entity Name,Entity Mailing Address,Entity Store Address,Entity Address,Agent Name,Agent Address,Operation Status
187,200815110172,"LA CHICANITA MARKET, LLC",,88740 70TH AVE  THERMAL CA 92274,88740 70TH AVE  THERMAL CA 92274,,,CANCELED
189,C1854224,"HUB LIQUOR, INC.",2118 WINTERHAVEN DRIVE  WINTERHAVEN CA 92283,2118 WINTERHAVEN DRIVE  WINTERHAVEN CA 92283,2118 WINTERHAVEN DRIVE  WINTERHAVEN CA 92283,GARY ALLEN JAMES,2118 WINTERHAVEN DRIVE WINTERHAVEN CA 92283,DISSOLVED
189,C3625835,"HUB LIQUOR, INC.",1542 SAN FERNANDO RD  SAN FERNANDO CA 91340,1542 SAN FERNANDO RD  SAN FERNANDO CA 91340,1542 SAN FERNANDO RD  SAN FERNANDO CA 91340,FAYAD TAKLA,1542 SAN FERNANDO RD SAN FERNANDO CA 91340,ACTIVE
206,C3165684,IONE PLAZA MARKET INC.,8924 FAIR OAKS BLVD  CARMICHAEL CA 95608,8924 FAIR OAKS BLVD  CARMICHAEL CA 95608,8924 FAIR OAKS BLVD  CARMICHAEL CA 95608,FRED AZARABADI,8924 FAIR OAKS BLVD CARMICHAEL CA 95608,ACTIVE
212,C2170876,WIN RIVER MINI MART CORPORATION,2000 REDDING RANCHERIA RD  REDDING CA 96001,2415 S BONNEYVIEW DR  REDDING CA 96001,2415 S BONNEYVIEW DR  REDDING CA 96001,NEAL MALMESTEN,2000 REDDING RANCHERIA RD REDDING CA 96001,ACTIVE
216,C3420874,EAGLE FEATHER TRADING POST #2 INC.,40103 HIGHWAY 33  KETTLEMAN CITY CA 93239,,40103 HIGHWAY 33  KETTLEMAN CITY CA 93239,FRED GRUND,780 YOWLUMNE AVE STE A PORTERVILLE CA 93257,DISSOLVED
221,C2725075,"COYOTE VALLEY ALLIANCE, INC.",95 S MARKET ST THIRD FL  SAN JOSE CA 95113,95 S MARKET ST THIRD FL  SAN JOSE CA 95113,95 S MARKET ST THIRD FL  SAN JOSE CA 95113,RANDY O WRIGHT,95 S MARKET ST THIRD FL SAN JOSE CA 95113,DISSOLVED
221,C2643690,"COYOTE VALLEY BIBLE FELLOWSHIP, INC.",19139 HIDDEN VALLEY ROAD  HIDDEN VALLEY LAKE CA 95467,19139 HIDDEN VALLEY ROAD  HIDDEN VALLEY LAKE CA 95467,19139 HIDDEN VALLEY ROAD  HIDDEN VALLEY LAKE CA 95467,KENNETH D. PHILLIPS,19139 HIDDEN VALLEY ROAD HIDDEN VALLEY LAKE CA 95467,DISSOLVED
221,C2727090,"COYOTE VALLEY CONSTRUCTION, INC.",18595 DEER HOLLOW RD  HIDDEN VALLEY LAKE CA 95467,18595 DEER HOLLOW RD  HIDDEN VALLEY LAKE CA 95467,18595 DEER HOLLOW RD  HIDDEN VALLEY LAKE CA 95467,MICHAEL H SAND,18595 DEER HOLLOW RD HIDDEN VALLEY LAKE CA 95467,DISSOLVED
221,C1644732,"COYOTE VALLEY DEVELOPMENT, INCORPORATED",P.O. BOX 7  MIDDLETOWN CA 95461,19953 HONEY HILL DRIVE  MIDDLETOWN CA 95461,19953 HONEY HILL DRIVE  MIDDLETOWN CA 95461,RICHARD P WOLFF,19953 HONEY HILL DRIVE MIDDLETOWN CA 95461,DISSOLVED
221,C2245597,"COYOTE VALLEY ELECTRIC, INC.",5542 MONTERY RD 130  SAN JOSE CA 95138,5542 MONTERY RD 130  SAN JOSE CA 95138,5542 MONTERY RD 130  SAN JOSE CA 95138,MARK HASSON,1127 S GAFFEY ST SAN PEDRO CA 90731,FTB SUSPENDED
221,C0773485,"COYOTE VALLEY LANDOWNERS' ASSOCIATION, INC.",1477 HARTLEY CT.  SAN JOSE CA 95130,,1477 HARTLEY CT.  SAN JOSE CA 95130,,,FTB SUSPENDED
221,C0293885,COYOTE VALLEY MUTUAL WATER COMPANY,PO BOX 126  OCOTILLO CA 92259,1161 IMPERIAL HWY  OCOTILLO CA 92259,1161 IMPERIAL HWY  OCOTILLO CA 92259,MICHAEL PETERSON,1175 BOUNDARY AVE OCOTILLO CA 92259,ACTIVE
221,C2974179,COYOTE VALLEY NURSERY INC.,315 KIRBY AVE  MORGAN HILL CA 95037,315 KIRBY AVE  MORGAN HILL CA 95037,315 KIRBY AVE  MORGAN HILL CA 95037,MARIO P SILVA,315 KIRBY AVE MORGAN HILL CA 95037,ACTIVE
221,C2673620,COYOTE VALLEY SHARPSHOOTERS,2369 SAINT FRANCIS DRIVE  PALO ALTO CA 94303-3136,2369 SAINT FRANCIS DRIVE  PALO ALTO CA 94303-3136,2369 SAINT FRANCIS DRIVE  PALO ALTO CA 94303-3136,DEBRA LAVERGNE,2369 SAINT FRANCIS DRIVE PALO ALTO CA 94303-3136,DISSOLVED
221,C4216500,COYOTE VALLEY SPORT FLYERS,32 PERALTA AVE  LOS GATOS CA 95030,32 PERALTA AVE  LOS GATOS CA 95030,32 PERALTA AVE  LOS GATOS CA 95030,MARK LIVINGSTON WAINWRIGHT,32 PERALTA AVE LOS GATOS CA 95030,ACTIVE
221,200106110110,"CDST-COYOTE VALLEY, LLC",,2903 E. CAMELBACK RD STE 155  PHOENIX AZ 85016,2903 E. CAMELBACK RD STE 155  PHOENIX AZ 85016,CT CORPORATION SYSTEM,* ,CANCELED
221,201405210184,COYOTE CASTRO VALLEY LLC,20885 REDWOOD RD #304  CASTRO VALLEY CA 94546,20885 REDWOOD RD #304  CASTRO VALLEY CA 94546,20885 REDWOOD RD #304  CASTRO VALLEY CA 94546,DOUGLAS J ABELES,20885 REDWOOD RD #304 CASTRO VALLEY CA 94546,ACTIVE
221,200222700002,"COYOTE VALLEY (SAN JOSE) GP, L.P.",,431 E HORATIO AVE STE 210 %AVANTI PROPER  MAITLAND FL 32751,431 E HORATIO AVE STE 210 %AVANTI PROPER  MAITLAND FL 32751,WILLIAM L STEEL,"18881 VON KARMAN AVE SUITE 1400, SAMUELS & STEEL LLP IRVINE CA 92612",CANCELED
221,200219900002,"COYOTE VALLEY (SAN JOSE) PIP IV, L.P.",,431 E HORATIO AVE STE 210 %AVANTI PROPER  MAITLAND FL 32751,431 E HORATIO AVE STE 210 %AVANTI PROPER  MAITLAND FL 32751,WILLIAM L STEEL,"%SAMUELS 7 STEEL, LLCP, 18881 VON KARMAN AVENUE SUITE 1400 IRVINE CA 92612",CANCELED
221,200010310082,"COYOTE VALLEY AGGREGATE, LLC",,3579 RANCH VIWEW LANE  BISHOP CA 93514,3579 RANCH VIWEW LANE  BISHOP CA 93514,D. RICHARD CHEESEMAN,3579 RANCH VIEW LANE BISHOP CA 93514,CANCELED
221,200423010005,"COYOTE VALLEY ALLIANCE FOR SMART PLANNING, LLC",,"95 SOUTH MARKET ST., THIRD FLOOR  SAN JOSE CA 95113","95 SOUTH MARKET ST., THIRD FLOOR  SAN JOSE CA 95113",RANDY O. WRIGHT,"95 SOUTH MARKET ST., THIRD FLOOR SAN JOSE CA 95113",CANCELED
221,201703400011,COYOTE VALLEY HOMES I LIMITED PARTNERSHIP,7601 N STATE ST  REDWOOD VALLEY CA 95470,7601 N STATE ST  REDWOOD VALLEY CA 95470,7601 N STATE ST  REDWOOD VALLEY CA 95470,MICHAEL HUNTER,7601 N STATE ST REDWOOD VALLEY CA 95470,ACTIVE
221,198433100069,"COYOTE VALLEY LEASING, A CALIFORNIA LIMITED PARTNERSHIP",,4085 CAMPBELL AVE.  MENLO PARK CA 94025,4085 CAMPBELL AVE.  MENLO PARK CA 94025,JOE P. CRITCHFIELD,4085 CAMPBELL AVE. MENLO PARK CA 94025,ACTIVE
221,199829610013,"COYOTE VALLEY MANAGERS, LLC",,575 MARKET ST 35TH FL  SAN FRANCISCO CA 94105,575 MARKET ST 35TH FL  SAN FRANCISCO CA 94105,,,CANCELED
221,200622610116,"COYOTE VALLEY PROFESSIONAL CENTER, LLC",,1612 FOURTH ST.  SANTA ROSA CA 95404,1612 FOURTH ST.  SANTA ROSA CA 95404,MARK D. JORDAN,1612 FOURTH ST. SANTA ROSA CA 95404,FTB SUSPENDED
224,C4067380,"11TH STREET CHEVRON, INC.",1294 DALTON STREET  TULARE CA 93274,1294 DALTON STREET  TULARE CA 93274,1294 DALTON STREET  TULARE CA 93274,MUSSA M KAID,1294 DALTON STREET TULARE CA 93274,ACTIVE
224,C1152140,ADAM'S CHEVRON SERVICE,2505 PRIMROSE LANE  UPLAND CA 91786,2505 PRIMROSE LANE  UPLAND CA 91786,2505 PRIMROSE LANE  UPLAND CA 91786,ALBERT ADAM,2505 PRIMROSE LANE UPLAND CA 91786,DISSOLVED
224,C3311410,"ADOBE ROAD CHEVRON, INC.",8747 SHASTA LILY WAY  ELK GROVE CA 95758,8747 SHASTA LILY WAY  ELK GROVE CA 95758,8747 SHASTA LILY WAY  ELK GROVE CA 95758,** RESIGNED ON 01/29/2018,* ,FTB SUSPENDED
224,C0964842,"AIRPORT CHEVRON AND TOWING, INC.",561 BUENA VISTA AVE  OXNARD CA 93030-5103,561 BUENA VISTA AVE  OXNARD CA 93030-5103,561 BUENA VISTA AVE  OXNARD CA 93030-5103,GARY LEE NORRIS,561 BUENA VISTA AVE OXNARD CA 93030-5103,ACTIVE
224,C1022774,"AL JENSEN CHEVRON, INC.",1056 LORRAINE DR  REDDING CA 96002,1056 LORRAINE DR  REDDING CA 96002,1056 LORRAINE DR  REDDING CA 96002,A E JENSEN,1056 LORRAINE DR REDDING CA 96002,DISSOLVED
224,C0580001,"ALDERSON'S CHEVRON STATION, INC.",,,,,,FTB SUSPENDED
224,C1094286,"ALLIED GARDENS CHEVRON, INC.",8692 LA MESA BLVD  LA MESA CA 92041,,8692 LA MESA BLVD  LA MESA CA 92041,CHESLEY J GENTRY,88 VALLECITO WY CHULA VISTA CA 92010,DISSOLVED
224,C2527546,"ALONDRA CHEVRON, INC.",840 N BROADWAY STE 202  LA CA 90012,6602 ALONDRA BL  PARAMOUNT CA 90723,6602 ALONDRA BL  PARAMOUNT CA 90723,SANG M LIM,6602 ALONDRA BL PARAMOUNT CA 90723,DISSOLVED
224,C4230553,"ALTADENA CHEVRON SERVICE CENTER, INC.",907 E ALTADENA DR  ALTADENA CA 91001,907 E ALTADENA DR  ALTADENA CA 91001,907 E ALTADENA DR  ALTADENA CA 91001,FAWZI FAKHOURY,5819 TEMPLE CITY BLVD TEMPLE CITY CA 91780,ACTIVE
224,C3433863,ALTURAS CHEVRON INC.,1080 N MAIN ST  ALTURAS CA 96101,1080 N MAIN ST  ALTURAS CA 96101,1080 N MAIN ST  ALTURAS CA 96101,MANPREET SINGH KAHLON,153 COLLEGE HILL WAY YUBA CITY CA 95993,ACTIVE
224,198432100004,"70TH STREET CHEVRON, A CALIFORNIA LIMITED PARTNERSHIP",,6992 EL CAJON BLVD.  SAN DIEGO CA 92115,6992 EL CAJON BLVD.  SAN DIEGO CA 92115,HILBERT MURILLO,6992 EL CAJON BLVD. SAN DIEGO CA 92115,ACTIVE
224,200214010053,"ADLY'S CHEVRON, LLC",,9030 NATIONAL BLVD  LOS ANGELES CA 90034,9030 NATIONAL BLVD  LOS ANGELES CA 90034,ADLY ABDELMALAK,9030 NATIONAL BLVD LOS ANGELES CA 90034,CANCELED
224,198422900099,"ADOBE FALLS CHEVRON SERVICE, A CALIFORNIA LIMITED PARTNERSHIP",,4525 WARING RD.  SAN DIEGO CA 92120,4525 WARING RD.  SAN DIEGO CA 92120,DENNIS LAMBERT SWANSON,2215 LINCOLN AVE. SAN DIEGO CA 92104,ACTIVE
224,198415600154,BOB RISNER CHEVRON,,2501 EAST LINCOLN  ANAHEIM CA 92800,2501 EAST LINCOLN  ANAHEIM CA 92800,KEITH VAN HOESEN,5992 WESTMINSTER AVENUE WESTMINSTER CA 92683,CANCELED
224,200807400009,CHESTER CHEVRON L.P.,,225 MAIN STREET  CHESTER CA 96020,225 MAIN STREET  CHESTER CA 96020,MAIN SINGH,16 E SIERRA STREET PORTOLA CA 96122,ACTIVE
224,199733510017,CHEVRON CHEMICAL COMPANY LLC,,575 MARKET STREET  SAN FRANCISCO CA 94105,575 MARKET STREET  SAN FRANCISCO CA 94105,H P WALKER,575 MARKET STREET SAN FRANCISCO  94105,CANCELED
224,198418200727,CHEVRON CONSTRUCTION CO,,"2120 WILSHIRE BLVD,. STE. 200  SANTA MONICA CA 90403","2120 WILSHIRE BLVD,. STE. 200  SANTA MONICA CA 90403",MARIO MORY,"2120 WILSHIRE BLVD., STE. 200 SANTA MONICA CA 90403",CANCELED
224,199931410061,CHEVRON EBUSINESS DEVELOPMENT COMPANY LLC,,6001 BOLILNGER CANYON ROAD  SAN RAMON CA 94583,6001 BOLILNGER CANYON ROAD  SAN RAMON CA 94583,THE PRENTICE-HALL CORPORATION SYSTEM INC,* ,CANCELED
224,200015200015,CHEVRON ENERGY SOLUTIONS L.P.,,575 MARKET ST  SAN FRANCISCO CA 94105,575 MARKET ST  SAN FRANCISCO CA 94105,,,CANCELED
224,199914010075,CHEVRON EUROPEAN HOLDINGS LLC,6001 BOLLINGER CANYON RD V2322A  SAN RAMON CA 94583,6001 BOLLINGER CANYON RD  SAN RAMON CA 94583,6001 BOLLINGER CANYON RD  SAN RAMON CA 94583,,,CANCELED
231,C4067380,"11TH STREET CHEVRON, INC.",1294 DALTON STREET  TULARE CA 93274,1294 DALTON STREET  TULARE CA 93274,1294 DALTON STREET  TULARE CA 93274,MUSSA M KAID,1294 DALTON STREET TULARE CA 93274,ACTIVE
231,C1152140,ADAM'S CHEVRON SERVICE,2505 PRIMROSE LANE  UPLAND CA 91786,2505 PRIMROSE LANE  UPLAND CA 91786,2505 PRIMROSE LANE  UPLAND CA 91786,ALBERT ADAM,2505 PRIMROSE LANE UPLAND CA 91786,DISSOLVED
231,C3311410,"ADOBE ROAD CHEVRON, INC.",8747 SHASTA LILY WAY  ELK GROVE CA 95758,8747 SHASTA LILY WAY  ELK GROVE CA 95758,8747 SHASTA LILY WAY  ELK GROVE CA 95758,** RESIGNED ON 01/29/2018,* ,FTB SUSPENDED
231,C0964842,"AIRPORT CHEVRON AND TOWING, INC.",561 BUENA VISTA AVE  OXNARD CA 93030-5103,561 BUENA VISTA AVE  OXNARD CA 93030-5103,561 BUENA VISTA AVE  OXNARD CA 93030-5103,GARY LEE NORRIS,561 BUENA VISTA AVE OXNARD CA 93030-5103,ACTIVE
231,C1022774,"AL JENSEN CHEVRON, INC.",1056 LORRAINE DR  REDDING CA 96002,1056 LORRAINE DR  REDDING CA 96002,1056 LORRAINE DR  REDDING CA 96002,A E JENSEN,1056 LORRAINE DR REDDING CA 96002,DISSOLVED
231,C0580001,"ALDERSON'S CHEVRON STATION, INC.",,,,,,FTB SUSPENDED
231,C1094286,"ALLIED GARDENS CHEVRON, INC.",8692 LA MESA BLVD  LA MESA CA 92041,,8692 LA MESA BLVD  LA MESA CA 92041,CHESLEY J GENTRY,88 VALLECITO WY CHULA VISTA CA 92010,DISSOLVED
231,C2527546,"ALONDRA CHEVRON, INC.",840 N BROADWAY STE 202  LA CA 90012,6602 ALONDRA BL  PARAMOUNT CA 90723,6602 ALONDRA BL  PARAMOUNT CA 90723,SANG M LIM,6602 ALONDRA BL PARAMOUNT CA 90723,DISSOLVED
231,C4230553,"ALTADENA CHEVRON SERVICE CENTER, INC.",907 E ALTADENA DR  ALTADENA CA 91001,907 E ALTADENA DR  ALTADENA CA 91001,907 E ALTADENA DR  ALTADENA CA 91001,FAWZI FAKHOURY,5819 TEMPLE CITY BLVD TEMPLE CITY CA 91780,ACTIVE
231,C3433863,ALTURAS CHEVRON INC.,1080 N MAIN ST  ALTURAS CA 96101,1080 N MAIN ST  ALTURAS CA 96101,1080 N MAIN ST  ALTURAS CA 96101,MANPREET SINGH KAHLON,153 COLLEGE HILL WAY YUBA CITY CA 95993,ACTIVE
231,198432100004,"70TH STREET CHEVRON, A CALIFORNIA LIMITED PARTNERSHIP",,6992 EL CAJON BLVD.  SAN DIEGO CA 92115,6992 EL CAJON BLVD.  SAN DIEGO CA 92115,HILBERT MURILLO,6992 EL CAJON BLVD. SAN DIEGO CA 92115,ACTIVE
231,200214010053,"ADLY'S CHEVRON, LLC",,9030 NATIONAL BLVD  LOS ANGELES CA 90034,9030 NATIONAL BLVD  LOS ANGELES CA 90034,ADLY ABDELMALAK,9030 NATIONAL BLVD LOS ANGELES CA 90034,CANCELED
231,198422900099,"ADOBE FALLS CHEVRON SERVICE, A CALIFORNIA LIMITED PARTNERSHIP",,4525 WARING RD.  SAN DIEGO CA 92120,4525 WARING RD.  SAN DIEGO CA 92120,DENNIS LAMBERT SWANSON,2215 LINCOLN AVE. SAN DIEGO CA 92104,ACTIVE
231,198415600154,BOB RISNER CHEVRON,,2501 EAST LINCOLN  ANAHEIM CA 92800,2501 EAST LINCOLN  ANAHEIM CA 92800,KEITH VAN HOESEN,5992 WESTMINSTER AVENUE WESTMINSTER CA 92683,CANCELED
231,200807400009,CHESTER CHEVRON L.P.,,225 MAIN STREET  CHESTER CA 96020,225 MAIN STREET  CHESTER CA 96020,MAIN SINGH,16 E SIERRA STREET PORTOLA CA 96122,ACTIVE
231,199733510017,CHEVRON CHEMICAL COMPANY LLC,,575 MARKET STREET  SAN FRANCISCO CA 94105,575 MARKET STREET  SAN FRANCISCO CA 94105,H P WALKER,575 MARKET STREET SAN FRANCISCO  94105,CANCELED
231,198418200727,CHEVRON CONSTRUCTION CO,,"2120 WILSHIRE BLVD,. STE. 200  SANTA MONICA CA 90403","2120 WILSHIRE BLVD,. STE. 200  SANTA MONICA CA 90403",MARIO MORY,"2120 WILSHIRE BLVD., STE. 200 SANTA MONICA CA 90403",CANCELED
231,199931410061,CHEVRON EBUSINESS DEVELOPMENT COMPANY LLC,,6001 BOLILNGER CANYON ROAD  SAN RAMON CA 94583,6001 BOLILNGER CANYON ROAD  SAN RAMON CA 94583,THE PRENTICE-HALL CORPORATION SYSTEM INC,* ,CANCELED
231,200015200015,CHEVRON ENERGY SOLUTIONS L.P.,,575 MARKET ST  SAN FRANCISCO CA 94105,575 MARKET ST  SAN FRANCISCO CA 94105,,,CANCELED
231,199914010075,CHEVRON EUROPEAN HOLDINGS LLC,6001 BOLLINGER CANYON RD V2322A  SAN RAMON CA 94583,6001 BOLLINGER CANYON RD  SAN RAMON CA 94583,6001 BOLLINGER CANYON RD  SAN RAMON CA 94583,,,CANCELED
232,C3023181,''SAN JOAQUIN VALLEY CLEAN ENERGY ORGANIZATION'',"4747 N. FIRST STREET, SUITE 140  FRESNO CA 93726","4747 N. FIRST STREET, SUITE 140  FRESNO CA 93726","4747 N. FIRST STREET, SUITE 140  FRESNO CA 93726",COURTNEY BLORE KALASHIAN,"4747 N. FIRST STREET, SUITE 140 FRESNO CA 93726",ACTIVE
232,C3551313,AMERICAN CLEAN ENERGY FOUNDATION,769 132ND AVE  HUDSON WI 54016,769 132ND AVE  HUDSON WI 54016,769 132ND AVE  HUDSON WI 54016,,,SOS/FTB SUSPENDED
232,C3500091,"APEX CLEAN ENERGY, INC.","310 4TH STREET NE, STE 200  CHARLOTTESVILLE VA 22902","310 4TH STREET NE, STE 200  CHARLOTTESVILLE VA 22902","310 4TH STREET NE, STE 200  CHARLOTTESVILLE VA 22902",,,SURRENDER
232,C3262210,"ASIA CLEAN ENERGY INNOVATION INITIATIVE, INC.","CATF, 18 TREMONT ST STE 530STE 530  BOSTON MA 02108",,"CATF, 18 TREMONT ST STE 530STE 530  BOSTON MA 02108",,,DISSOLVED
232,C2600472,"AUS CLEAN ENERGY SERVICES, INC.",9371 IRVINE BOULEVARD  IRVINE CA 92618,9371 IRVINE BOULEVARD  IRVINE CA 92618,9371 IRVINE BOULEVARD  IRVINE CA 92618,WESLEY L DAVIS,15707 ROCKFIELD BOULEVARD SUITE 205 IRVINE CA 92618,DISSOLVED
232,C3830281,BCI CLEAN ENERGY INC.,3440 WILSHIRE BLVD STE 807  LOS ANGELES CA 90010,17831 SKY PARK CIRCLE STE H  IRVINE CA 92614,17831 SKY PARK CIRCLE STE H  IRVINE CA 92614,STANLEY CHA,3440 WILSHIRE BLVD STE 807 LOS ANGELES CA 90010,ACTIVE
232,C3035099,CALIFORNIA CLEAN ENERGY COMMITTEE,503 DEL ORO AVE  DAVIS CA 95616,503 DEL ORO AVE  DAVIS CA 95616,503 DEL ORO AVE  DAVIS CA 95616,EUGENE SAMUEL WILSON,503 DEL ORO AVE DAVIS CA 95616,ACTIVE
232,C2655705,CALIFORNIA CLEAN ENERGY FUND,436 14TH ST. STE. 1220  OAKLAND CA 94612,436 14TH ST. STE. 1220  OAKLAND CA 94612,436 14TH ST. STE. 1220  OAKLAND CA 94612,DANIEL IAN KENNEDY,436 14TH ST. STE. 1220 OAKLAND CA 94612,ACTIVE
232,C3162834,CALIFORNIANS FOR A CLEAN ENERGY FUTURE,350 S GRAND AVE_25TH FL  LOS ANGELES CA 90071-1503,,350 S GRAND AVE_25TH FL  LOS ANGELES CA 90071-1503,,,DISSOLVED
232,C2847750,CALIFORNIANS FOR CLEAN ENERGY,201 DOLORES AVENUE  SAN LEANDRO CA 94577,201 DOLORES AVENUE  SAN LEANDRO CA 94577,201 DOLORES AVENUE  SAN LEANDRO CA 94577,JAMES C. HARRISON,201 DOLORES AVENUE SAN LEANDRO CA 94577,DISSOLVED
232,201420910365,50/50 CLEAN ENERGY LLC,PO BOX 26  BAKERSFIELD CA 93302,1401 S ST STE 223  BAKERSFIELD CA 93301,1401 S ST STE 223  BAKERSFIELD CA 93301,,,FTB SUSPENDED
232,200836210018,ADAM CAPITAL CLEAN ENERGY ASSET FINANCE LLC,,579 1ST ST WEST  SONOMA CA 95476,579 1ST ST WEST  SONOMA CA 95476,ADAM BOUCHER,579 1ST ST WEST SONOMA CA 95476,SOS FORFEITED
232,201117910152,ADAM CAPITAL CLEAN ENERGY FINANCE LLC,,579 1ST ST W  SONOMA CA 95476-6638,579 1ST ST W  SONOMA CA 95476-6638,ADAM BOUCHER,579 1ST ST W SONOMA CA 95476-6638,CANCELED
232,201629310338,"AMERICAN A. S. CLEAN ENERGY CONSULTING, LLC",2857 CHIANTI AVE  MADERA CA 93637,2857 CHIANTI AVE  MADERA CA 93637,2857 CHIANTI AVE  MADERA CA 93637,ROBERT GUILLEN,2857 CHIANTI AVE MADERA CA 93637,FTB SUSPENDED
232,201816510262,AMERICAN CLEAN ENERGY REPRESENTATIVES LLC,5314 VIA DOLORES  THOUSAND OAKS CA 91320,5314 VIA DOLORES  THOUSAND OAKS CA 91320,5314 VIA DOLORES  THOUSAND OAKS CA 91320,,,ACTIVE
232,201517310496,"AQUA CLEAN ENERGY FUND, LLC",15617 RISING RIVER PLACE N  SAN DIEGO CA 92127,15617 RISING RIVER PLACE N  SAN DIEGO CA 92127,15617 RISING RIVER PLACE N  SAN DIEGO CA 92127,KARINA JUAREZ,701 B ST STE 236 SAN DIEGO CA 92101,CANCELED
232,201507810259,"AQUA CLEAN ENERGY, LLC",15024 HUNTINGTON GATE DR  POWAY CA 92064,15024 HUNTINGTON GATE DR  POWAY CA 92064,15024 HUNTINGTON GATE DR  POWAY CA 92064,KARINA JUAREZ,701 B ST STE 236 SAN DIEGO CA 92101,CANCELED
232,201505910395,"ATLANTIC CLEAN ENERGY SUPPLY, LLC",4378 OTHELLO DR  FREMONT CA 94555,4378 OTHELLO DR  FREMONT CA 94555,4378 OTHELLO DR  FREMONT CA 94555,XIN ZHU,4378 OTHELLO DR FREMONT CA 94555,ACTIVE
232,201601910064,"ATLAS CLEAN ENERGY, LLC",1620 5TH AVE STE 650  SAN DIEGO CA 92101,1620 5TH AVE STE 650  SAN DIEGO CA 92101,1620 5TH AVE STE 650  SAN DIEGO CA 92101,AJAY GUPTA,1620 5TH AVE STE 650 SAN DIEGO CA 92101,SOS/FTB SUSPENDED
232,201821110672,"BE CLEAN ENERGY RESOURCES, LLC",4353 N 1ST ST  SAN JOSE CA 95134,4353 N 1ST ST  SAN JOSE CA 95134,4353 N 1ST ST  SAN JOSE CA 95134,,,ACTIVE
233,C4229873,"BC COUNTRY CLUB LIQUORS, INC",3473 MCKEE RD  SAN JOSE CA 95127,3473 MCKEE RD  SAN JOSE CA 95127,3473 MCKEE RD  SAN JOSE CA 95127,BAO Q CHAU,3473 MCKEE RD SAN JOSE CA 95127,ACTIVE
233,C0511711,"COUNTRY CLUB LIQUORS, INC.",,,,,,FTB SUSPENDED
233,C0830288,"COUNTRY CLUB LIQUORS, INC.",74-495 HWY 111  PALM DESERT CA 92260,74-495 HWY 111  PALM DESERT CA 92260,74-495 HWY 111  PALM DESERT CA 92260,JAMES KRIEG,74-495 HWY 111 PALM DESERT CA 92260,FTB SUSPENDED
