IMPAQ_ID,DBA Name_update,Full Address_update,Latitude_update,Longitude_update
2798,SACATON SUPER MART,"310 Ocotillo Ln, Sacaton, AZ, 85147",33.0850734,-111.7549412
2828,BUCHE FOODS,"401 W Sd Highway 46, Wagner, SD, 57380",43.081646,-98.29793000000001
2252,GIANT,"Hwy 491 & Hwy 666, Newcomb, NM, 87455",36.2828091,-108.70866059999999
3246,FRED SMITH RODEO ARENA,"14000 Sports Complex Rd, Okeechobee, FL, 34974",27.0828131,-81.0783191
3052,DOLLAR GENERAL,"801 W Grand Ave, Ponca City, OK, 74601",36.7045346,-97.09362519999999
2435,TROPHYS,"11247 State Highway 27, Onamia, MN, 56359",46.1072091,-93.6425191
2339,DOLLAR TREE,"113 N 200 E, Roosevelt, UT, 84066",40.301113,-109.9889
2697,IDAHO CONTRACT LIQUOR,"402 Nez Perce, Winchester, ID, 83555",46.24058,-116.62265
3116,ROUND BAR,"45000 Pechanga Pkwy, Temecula, CA, 92592",33.4560541,-117.1067437
2397,GATOR BAR,"500 SW 177th Ave, Miami, FL, 33194",25.763799,-80.4843305
3081,TAHOLAH MERCANTILE,"515 Quinault St, Taholah, WA, 98587",47.347916,-124.28963
2660,EL REY DISCOUNT LIQUOR,"811 N Riverside Dr, Espanola, NM, 87532",36.00228660000001,-106.06277959999998
2707,IDAHO CONTRACT LIQUOR,"9924 W F St, Worley, ID, 83876",47.4003071,-116.9214601
2560,PUGANINI TOWA GOLF COURSE,"17746 Us 84/285, Santa Fe, NM, 87506",35.779276,-105.94778600000001
3314,ALLEY CAT LOUNGE,"415 2nd St NW, Parshall, ND, 58770",47.960255,-102.136505
2363,ONEIDA ONE STOP,"2597 W Mason St, Green Bay, WI, 54303",44.524273,-88.09904499999998
2908,RED LAKE RETAIL CENTER,"100 Main St, Redlake, MN, 56671",47.8785814,-95.017498
3301,PENDER LANES,"415 S 4th St, Pender, NE, 68047",42.1104224,-96.7068032
3058,TWIN TOTEMS GROCERY,"19390 N Us Highway 101, Shelton, WA, 98584",47.338511,-123.1606665
2139,BANNOCK PEAK TRUCK STOP,"1707 E County Rd, Pocatello, ID, 83204",42.88701,-112.63427
2462,RUBYS,"6 Gifford Ferry Rd, Inchelium, WA, 99138",48.296524,-118.19661
2183,NEXT DOOR FOOD STORE,"1324 W High St, Mount Pleasant, MI, 48858",43.597065,-84.79139
3061,KTP EXPRESS,"3850 SE Old Olympic Hwy, Shelton, WA, 98584",47.129531,-123.09754299999999
3037,GUS STOP,"413 W Sd Highway 46, Wagner, SD, 57380",43.081646,-98.29824
2834,VEKOL MKT GAS KIOSK,"47021 W Farrell Rd, Maricopa, AZ, 85139",33.028630699999994,-112.0727876
2620,LONG BOW GOLF CLUB,"6516 Long Bow Trl NW, Walker, MN, 56484",47.172,-94.63473499999999
2993,RIVER VALLEY STORE,"3160 Big Cove Rd, Cherokee, NC, 28719",35.5209977,-83.2811623
2702,GILCREASE HILLS LIQUOR,"2319 W Edison St, Tulsa, OK, 74127",36.161278,-96.01867
2117,WALMART GAS KIOSK,"1851 W Highway 40, Vernal, UT, 84078",40.2751836,-110.0267445
3324,CLEARWATER RVR CASINO,"17500 Nez Perce Rd, Lewiston, ID, 83501",46.436042900000004,-116.9087908
2921,PAWHUSKA SHORT STOP,"301 E Main St, Pawhuska, OK, 74056",36.6632406,-96.3354855
3188,DROVERS RUN,"49038 Us Highway 95, Culdesac, ID, 83524",46.37025,-116.72268999999999
2464,VALLEY PUB,"1206 Puyallup Ave, Tacoma, WA, 98421",47.241946999999996,-122.41718999999999
1947,UNITED DRUG GIBBONS,"117 S Toppenish Ave, Toppenish, WA, 98948",46.375458,-120.31153789999999
2888,COEUR D ALENE CONOCO,"37902 S Nukwalqw Rd, Worley, ID, 83876",47.43246060000001,-116.9717894
2315,GLENWOOD GENERAL STORE,"208 E Main St, Glenwood, WA, 98619",46.018516999999996,-121.29066
3236,COYOTE VALLEY CASINO,"455 Coyote Valley Blvd, Redwood Valley, CA, 95470",39.2528401,-123.20738229999999
1995,WOLF POINT IDE PHARMACY,"1115 4th Ave N, Wolf Point, MT, 59201",48.101112,-105.64281000000001
2787,JASONS SUPER FOODS,"975 Eagle Dr, New Town, ND, 58763",47.9814869,-102.47193320000001
2461,WELLS CLUB,"47 E Main St, Duchesne, UT, 84021",40.163475,-110.40053
3018,CUBBYS,"701 S 4th St, Pender, NE, 68047",42.1067438,-96.7079705
1988,HERTEL SMOKE SHOP,"4348 State Road 70, Webster, WI, 54893",45.8106901,-92.19800699999999
2907,TEXACO,"321 Makaala St, Hilo, HI, 96720",19.699684,-155.06736999999995
2386,RESERVE BAR,"123 Reserve Hwy E, Reserve, MT, 59258",48.606156299999995,-104.4639011
2383,BIG WINNIE BAR,"3 Co Rd 8, Bena, MN, 56626",47.3115446,-94.213665
3317,WILD HORSE PASS HOTEL & CASINO,"5040 W Wildhorse Pass Blvd, Chandler, AZ, 85226",33.2677873,-111.97843290000002
1980,BELCOURT DRUG,"1110 Hospital Rd Ste 1, Belcourt, ND, 58316",48.8383216,-99.7500184
2026,SMOKERS MANIA,"50 E 200 S, Roosevelt, UT, 84066",40.296567100000004,-109.99082220000001
