Unnamed: 0,IMPAQ_ID,DBA Name,DBA Name_changes,DBA Name_update,Address Line 1,Address Line 1_changes,Address Line 1_update,City,City_changes,City_update,State,State_changes,State_update,Zip,Zip_changes,Zip_update,Latitude,Latitude_changes,Latitude_update,Longitude,Longitude_changes,Longitude_update,Full Address,Full Address_changes,Full Address_update,County,County_changes,County_update,Address Line 2,matchsource,est_id,found_pic,Manual Result,biz_status,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,SoS_record,entity,agent_name,agent_address,agent_city,agent_state,agent_zip,URL
1519,1519,FUEL MAX,Correct,FUEL MAX,2216 EAST STATE HIGHWAY 10,2216 -10,2216 -10,SISSETON,Correct,SISSETON,SD,Correct,SD,57262,Correct,57262.0,45.6601,45.6598784,45.6598784,-97.02355,-97.01994570000001,-97.01994570000001,"2216 EAST STATE HIGHWAY 10  SISSETON, SD 57262","2216 SD-10, Sisseton, SD 57262, USA","2216 SD-10, Sisseton, SD 57262, USA",,Correct,ROBERTS,,Original,1519.0,,,Active,POINT (-97.01994569999999 45.6598784),Yes,0.0,Lake Traverse,Lake Traverse Reservation,,,From Original List,,,,,,,,,,,,,
1520,1520,WANBLEE MART,Correct,WANBLEE MART,22285 S DAKOTA HWY 44,Correct,22285 S DAKOTA HWY 44,WANBLEE,Correct,WANBLEE,SD,Correct,SD,57577,Correct,57577.0,43.5487,Correct,43.5487,-101.7218,Correct,-101.7218,"22285 S DAKOTA HWY 44  WANBLEE, SD 57577",Correct,"22285 S DAKOTA HWY 44 WANBLEE, SD 57577",,Correct,JACKSON,,Original,1520.0,,,Active,POINT (-101.7218 43.5487),Yes,0.0,Pine Ridge,Pine Ridge Reservation,,,From Original List,,,,,,DB045937,"WANBLEE MART, INC.",DONDEE KROLIKOWSKI,22285 SD HWY 44 WANBLEE SD 57577 USA,WANBLEE,SD,57577,https://sosenterprise.sd.gov/BusinessServices/Business/FilingDetail.aspx?CN=147233128130037175069065218012218131216136230056
1521,1521,WAGNER FOOD & FUEL,Correct,WAGNER FOOD & FUEL,29249 HWY 46,71 S MAIN ST,71 S MAIN ST,WAGNER,Correct,WAGNER,SD,Correct,SD,57380,Correct,57380.0,43.08167,43.081252299999996,43.081252299999996,-98.29311,-98.2938802,-98.2938802,"29249 HWY 46  WAGNER, SD 57380","71 S Main St, Wagner, SD 57380, USA","71 S Main St, Wagner, SD 57380, USA",,Correct,CHARLES MIX,,Original,1521.0,,,Active,POINT (-98.2938802 43.0812523),Yes,0.0,Yankton,Yankton Reservation,,,From Original List,,,,,,,,,,,,,
1522,1522,K&K CONVENIENCE,Correct,K&K CONVENIENCE,309 E HICKORY ST,309 W 119TH ST,309 W 119TH ST,SISSETON,Correct,SISSETON,SD,Correct,SD,57262,Correct,57262.0,45.66030014,45.6604463,45.6604463,-97.04136195,-97.0465539,-97.0465539,"309 E HICKORY ST  SISSETON, SD 57262","309 W 119th St, Sisseton, SD 57262, USA","309 W 119th St, Sisseton, SD 57262, USA",,Correct,ROBERTS,,Original,1522.0,1.0,yes,Active,POINT (-97.04655390000001 45.6604463),Yes,0.0,Lake Traverse,Lake Traverse Reservation,,,From Original List,,,,,,,,,,,,,
1523,1523,TURTLE CREEK CROSSING SUPERMARKET,TURTLE CREEK CROSSING SUPER FOODS,TURTLE CREEK CROSSING SUPER FOODS,311 HIGHWAY 18 WEST,Correct,311 HIGHWAY 18 WEST,MISSION,Correct,MISSION,SD,Correct,SD,57555,Correct,57555.0,43.30579,Correct,43.30579,-100.6615,Correct,-100.6615,"311 HIGHWAY 18 WEST  MISSION, SD 57555",Correct,"311 HIGHWAY 18 WEST MISSION, SD 57555",,Correct,TODD,,Original,1523.0,1.0,no,Active,POINT (-100.6615 43.30579),Yes,0.0,Rosebud,Rosebud Indian Reservation,,,From Original List,,,,,,,,,,,,,
1524,1524,KWO TRADING POST,Correct,KWO TRADING POST,32627 MEDICINE BULL MEMORIAL HWY,BIA RD 17,BIA RD 17,LOWER BRULE,Correct,LOWER BRULE,SD,Correct,SD,57548,Correct,57548.0,44.07432,44.074321000000005,44.07432100000001,-99.64185,-99.64184399999999,-99.64184399999999,"32627 MEDICINE BULL MEMORIAL HWY  LOWER BRULE, SD 57548","BIA Rd 17, Lower Brule, SD 57548, USA","BIA Rd 17, Lower Brule, SD 57548, USA",,Correct,LYMAN,,Original,1524.0,,,Active,POINT (-99.64184400000001 44.07432100000001),Yes,0.0,Lower Brule,Lower Brule Reservation,,,From Original List,,,,,,,,,,,,,
1525,1525,SIOUX BOYS,Can't Validate,SIOUX BOYS,32908 IRON NATION RD,Can't Validate,32908 IRON NATION RD,LOWER BRULE,Can't Validate,LOWER BRULE,SD,Can't Validate,SD,57548,Can't Validate,57548.0,44.10802563,Can't Validate,44.10802563,-99.72378716,Can't Validate,-99.72378716,"32908 IRON NATION RD  LOWER BRULE, SD 57548",Can't Validate,"32908 IRON NATION RD LOWER BRULE, SD 57548",,Can't Validate,LYMAN,,Original,1525.0,0.0,,Can't Validate,POINT (-99.72378716 44.10802563),Yes,0.0,Lower Brule,Lower Brule Reservation,,,From Original List,,,,,,,,,,,,,
1526,1526,Y S TRAVEL PLAZA,Correct,Y S TRAVEL PLAZA,38541 SD HWY 18,Correct,38541 SD HWY 18,PICKSTOWN,Correct,PICKSTOWN,SD,Correct,SD,57367,Correct,57367.0,43.06989,Correct,43.06989,-98.53346,Correct,-98.53346,"38541 SD HWY 18  PICKSTOWN, SD 57367",Correct,"38541 SD HWY 18 PICKSTOWN, SD 57367",,Correct,CHARLES MIX,,Original,1526.0,1.0,yes,Active,POINT (-98.53345999999999 43.06989),Yes,0.0,Yankton,Yankton Reservation,,,From Original List,,,,,,,,,,,,,https://sosenterprise.sd.gov/BusinessServices/Business/FilingDetail.aspx?CN=097190235139013179246088042060138207152245026181
1527,1527,BUCHES,BUCHE FOODS,BUCHE FOODS,401 WEST HWY 46,401 -46,401 -46,WAGNER,Correct,WAGNER,SD,Correct,SD,57380,Correct,57380.0,43.0816014,43.08125719999999,43.08125719999999,-98.29765993,-98.2989215,-98.2989215,"401 WEST HWY 46  WAGNER, SD 57380","401 SD-46, Wagner, SD 57380, USA","401 SD-46, Wagner, SD 57380, USA",,Correct,CHARLES MIX,,Original,1527.0,1.0,yes,Active,POINT (-98.29892149999999 43.08125719999999),Yes,0.0,Yankton,Yankton Reservation,,,From Original List,,,,,,UB159320,RF Buche - Owned by an Individual,RF Buche,,,,,https://sosenterprise.sd.gov/BusinessServices/Business/FictitiousDetail.aspx?CN=165070069038218064110161232022083031013201035227
1528,1528,GUS STOP 4,Correct,GUS STOP 4,413 W HWY 46,413 -46,413 -46,WAGNER,Correct,WAGNER,SD,Correct,SD,57380,Correct,57380.0,43.08159909,43.081334600000005,43.08133460000001,-98.29799423,-98.29967,-98.29967,"413 W HWY 46  WAGNER, SD 57380","413 SD-46, Wagner, SD 57380, USA","413 SD-46, Wagner, SD 57380, USA",,Correct,CHARLES MIX,,Original,1528.0,,,Active,POINT (-98.29966999999999 43.08133460000001),Yes,0.0,Yankton,Yankton Reservation,,,From Original List,,,,,,UB970542,RF Buche - Owned by an Individual,RF Buche,,,,,https://sosenterprise.sd.gov/BusinessServices/Business/FictitiousDetail.aspx?CN=103054019041147073142056166200237181089185190079
1529,1529,FAMILY DOLLAR 7227,Correct,FAMILY DOLLAR 7227,419 W HICKORY ST,419 W 119TH ST,419 W 119TH ST,SISSETON,Correct,SISSETON,SD,Correct,SD,57262,Correct,57262.0,45.6601701,45.660478499999996,45.660478499999996,-97.05622901,-97.0569353,-97.0569353,"419 W HICKORY ST  SISSETON, SD 57262","419 W 119th St, Sisseton, SD 57262, USA","419 W 119th St, Sisseton, SD 57262, USA",,Correct,ROBERTS,,Original,1529.0,,,Active,POINT (-97.05693530000001 45.6604785),Yes,0.0,Lake Traverse,Lake Traverse Reservation,,,From Original List,,,,,,,,,,,,,
1530,1530,DAKOTA CONNECTION,Correct,DAKOTA CONNECTION,46102 SD HIGHWAY 10,46102 -10,46102 -10,SISSETON,Correct,SISSETON,SD,Correct,SD,57262,Correct,57262.0,45.66001676,45.6611719,45.6611719,-96.97714119,-96.97702890000001,-96.97702890000001,"46102 SD HIGHWAY 10  SISSETON, SD 57262","46102 SD-10, Sisseton, SD 57262, USA","46102 SD-10, Sisseton, SD 57262, USA",,Correct,ROBERTS,,Original,1530.0,0.0,,Active,POINT (-96.97702889999999 45.6611719),Yes,0.0,Lake Traverse,Lake Traverse Reservation,,,From Original List,,,,,,,,,,,,,https://sosenterprise.sd.gov/BusinessServices/Business/FilingDetail.aspx?CN=175009032213054140176241011233142241092149213142
1531,1531,STILLSON'S SERVICE,Correct,STILLSON'S SERVICE,5 1ST AVE. E.,Correct,5 1ST AVE. E.,SISSETON,Correct,SISSETON,SD,Correct,SD,57262,Correct,57262.0,45.6601999,Correct,45.6601999,-97.04936983,Correct,-97.04936983,"5 1ST AVE. E.  SISSETON, SD 57262",Correct,"5 1ST AVE. E. SISSETON, SD 57262",,Correct,ROBERTS,,Original,1531.0,1.0,yes,Active,POINT (-97.04936983 45.6601999),Yes,0.0,Lake Traverse,Lake Traverse Reservation,,,From Original List,,,,,,,,,,,,,
1532,1532,BUCHE FOODS,Correct,BUCHE FOODS,520 2ND STREET,401 -46,401 -46,SCOTLAND,WAGNER,WAGNER,SD,Correct,SD,57059,57380,57380.0,43.15042126,43.08125719999999,43.08125719999999,-97.71879397,-98.2989215,-98.2989215,"520 2ND STREET  SCOTLAND, SD 57059","401 SD-46, Wagner, SD 57380, USA","401 SD-46, Wagner, SD 57380, USA",,Correct,CHARLES MIX,,Original,1532.0,,,Active,POINT (-98.29892149999999 43.08125719999999),Yes,0.0,Yankton,Yankton Reservation,,,From Original List,,,,,,UB159320,RF Buche - Owned by an Individual,RF Buche,,,,,https://sosenterprise.sd.gov/BusinessServices/Business/FictitiousDetail.aspx?CN=165070069038218064110161232022083031013201035227
1533,1533,PUMP  R  NIKS,PUMPR NIKS,PUMPR NIKS,521 SD HWY 50,511 -50,511 -50,LAKE ANDES,Correct,LAKE ANDES,SD,Correct,SD,57356,Correct,57356.0,43.15122,43.15429339999999,43.15429339999999,-98.52902,-98.5419067,-98.5419067,"521 SD HWY 50  LAKE ANDES, SD 57356","511 SD-50, Lake Andes, SD 57356, USA","511 SD-50, Lake Andes, SD 57356, USA",,Correct,CHARLES MIX,,Original,1533.0,,,Active,POINT (-98.5419067 43.15429339999999),Yes,0.0,Yankton,Yankton Reservation,,,From Original List,,,,,,,,,,,,,
1534,1534,CASEYS GEN STORE,Correct,CASEYS GEN STORE,524 W HWY 46,524 -46,524 -46,WAGNER,Correct,WAGNER,SD,Correct,SD,57380,Correct,57380.0,43.08178153,43.082482399999996,43.082482399999996,-98.29982666,-98.3023307,-98.3023307,"524 W HWY 46  WAGNER, SD 57380","524 SD-46, Wagner, SD 57380, USA","524 SD-46, Wagner, SD 57380, USA",,Correct,CHARLES MIX,,Original,1534.0,,,Active,POINT (-98.3023307 43.0824824),Yes,0.0,Yankton,Yankton Reservation,,,From Original List,,,,,,,,,,,,,
1535,1535,ROYAL RIVER CASINO,Correct,ROYAL RIVER CASINO,607 S VETERANS ST,Correct,607 S VETERANS ST,FLANDREAU,Correct,FLANDREAU,SD,Correct,SD,57028,Correct,57028.0,44.04361371,Correct,44.04361371,-96.60781594,Correct,-96.60781594,"607 S VETERANS ST  FLANDREAU, SD 57028",Correct,"607 S VETERANS ST FLANDREAU, SD 57028",,Correct,MOODY,,Original,1535.0,0.0,,Active,POINT (-96.60781593999999 44.04361371),Yes,0.0,Flandreau,Flandreau Reservation,,,From Original List,,,,,,DB028184,"ROYAL RIVER CASINO, INC.",THOMAS M. ISSENHUTH,205 N EGAN AVE MADISON SD 57042-2139 USA,MADISON,SD,57042,https://sosenterprise.sd.gov/BusinessServices/Business/FilingDetail.aspx?CN=019013023154117248061113134213114069201043212055
1536,1536,GUS STOP III,Correct,GUS STOP III,611 US HIGHWAY 281,611 US-281,611 US-281,LAKE ANDES,Correct,LAKE ANDES,SD,Correct,SD,57356,Correct,57356.0,43.14007,43.15358,43.15358,-98.40734,-98.5413266,-98.5413266,"611 US HIGHWAY 281  LAKE ANDES, SD 57356","611 US-281, Lake Andes, SD 57356, USA","611 US-281, Lake Andes, SD 57356, USA",,Correct,CHARLES MIX,,Original,1536.0,,,Active,POINT (-98.54132659999999 43.15358),Yes,0.0,Yankton,Yankton Reservation,,,From Original List,,,,,,UB970545,RF Buche - Owned by an Individual,RF Buche,,,,,https://sosenterprise.sd.gov/BusinessServices/Business/FictitiousDetail.aspx?CN=215236135011070069119016035162003045169082205073
1537,1537,GUS STOP,Correct,GUS STOP,621 2ND STR,620 2ND ST,620 2ND ST,MISSION,Correct,MISSION,SD,Correct,SD,57555,Correct,57555.0,43.30565147,43.305044200000005,43.30504420000001,-100.6664307,-100.6492371,-100.6492371,"621 2ND STR  MISSION, SD 57555","620 2nd St, Mission, SD 57555, USA","620 2nd St, Mission, SD 57555, USA",,Correct,TODD,,Original,1537.0,1.0,maybe,Active,POINT (-100.6492371 43.30504420000001),Yes,0.0,Rosebud,Rosebud Indian Reservation,,,From Original List,,,,,,UB970542,RF Buche - Owned by an Individual,RF Buche,,,,,https://sosenterprise.sd.gov/BusinessServices/Business/FictitiousDetail.aspx?CN=103054019041147073142056166200237181089185190079
1538,1538,PROCIDA CONOCO,Can't Validate,PROCIDA CONOCO,63 & HWY 12 MAIN STREET P O BOX 233,Can't Validate,63 & HWY 12 MAIN STREET P O BOX 233,MC LAUGHLIN,Can't Validate,MC LAUGHLIN,SD,Can't Validate,SD,57642,Can't Validate,57642.0,45.81554000000001,Can't Validate,45.81554000000001,-100.8107,Can't Validate,-100.8107,"63 & HWY 12 MAIN STREET P O BOX 233  MC LAUGHLIN, SD 57642",Can't Validate,"63 & HWY 12 MAIN STREET P O BOX 233 MC LAUGHLIN, SD 57642",,Can't Validate,CORSON,,Original,1538.0,,,Can't Validate,POINT (-100.8107 45.81554000000001),Yes,0.0,Standing Rock,Standing Rock Reservation,,,From Original List,,,,,,,,,,,,,
1539,1539,VALLEY PUMP N CASINO,Correct,VALLEY PUMP N CASINO,800 E HWY 46,Correct,800 E HWY 46,WAGNER,Correct,WAGNER,SD,Correct,SD,57380,Correct,57380.0,43.08172616,Correct,43.08172616,-98.28574931,Correct,-98.28574931,"800 E HWY 46  WAGNER, SD 57380",Correct,"800 E HWY 46 WAGNER, SD 57380",,Correct,CHARLES MIX,,Original,1539.0,,,Active,POINT (-98.28574931 43.08172616),Yes,0.0,Yankton,Yankton Reservation,,,From Original List,,,,,,,,,,,,,
1540,1540,FAMILY DOLLAR 7228,Correct,FAMILY DOLLAR 7228,812 E HIGHWAY 46,812 W -46,812 W -46,WAGNER,Correct,WAGNER,SD,Correct,SD,57380,Correct,57380.0,43.08172641,43.082148,43.082148,-98.28579403,-98.2763059,-98.2763059,"812 E HIGHWAY 46  WAGNER, SD 57380","812 W SD-46, Wagner, SD 57380, USA","812 W SD-46, Wagner, SD 57380, USA",,Correct,CHARLES MIX,,Original,1540.0,,,Active,POINT (-98.2763059 43.082148),Yes,0.0,Yankton,Yankton Reservation,,,From Original List,,,,,,,,,,,,,
1541,1541,KYLE GROCERY,Correct,KYLE GROCERY,2061 BUREAU OF INDIAN AFFAIRS 2,2061 BIA 2,2061 BIA 2,KYLE,Correct,KYLE,SD,Correct,SD,57752,Correct,57752.0,43.3736592,43.408991799999995,43.408991799999995,-102.2529647,-102.20805949999999,-102.20805949999999,"2061 BUREAU OF INDIAN AFFAIRS 2 PO BOX 249 KYLE, SD 57752","2061 BIA 2, Kyle, SD 57752, USA","2061 BIA 2, Kyle, SD 57752, USA",,Correct,SHANNON,PO BOX 249,Google,1541.0,,,Active,POINT (-102.2080595 43.4089918),Yes,0.0,Pine Ridge,Pine Ridge Reservation,,,From Original List,,,,,,DB048894,"KYLE GROCERY, INC.",ELIZABETH MAY,20261 BIA 2 KYLE SD 57752-7400 USA,KYLE,SD,57752,https://sosenterprise.sd.gov/BusinessServices/Business/FilingDetail.aspx?CN=006014011207184255248252255075232235194000108226
1542,1542,SIOUX NATION,Correct,SIOUX NATION,EAST HWY 18 (BEHIND TACO JOHNS),Correct,EAST HWY 18 (BEHIND TACO JOHNS),PINE RIDGE,Correct,PINE RIDGE,SD,Correct,SD,57770,Correct,57770.0,43.02557,Correct,43.02557,-102.5552,Correct,-102.5552,"EAST HWY 18 (BEHIND TACO JOHNS)  PINE RIDGE, SD 57770",Correct,"EAST HWY 18 (BEHIND TACO JOHNS) PINE RIDGE, SD 57770",,Correct,SHANNON,,Original,1542.0,1.0,yes,Active,POINT (-102.5552 43.02557),Yes,0.0,Pine Ridge,Pine Ridge Reservation,,,From Original List,,,,,,,,,,,,,
1543,1543,YELLOWBIRD STATION,Correct,YELLOWBIRD STATION,600 HWY 18,Correct,600 HWY 18,PINE RIDGE,Correct,PINE RIDGE,SD,Correct,SD,57770,Correct,57770.0,43.02563720000001,Correct,43.02563720000001,-102.5542766,Correct,-102.5542766,"600 HWY 18 PO BOX 1580 PINE RIDGE, SD 57770",Correct,"600 HWY 18 PINE RIDGE, SD 57770",,Correct,SHANNON,PO BOX 1580,Google,1543.0,1.0,yes,Active,POINT (-102.5542766 43.02563720000001),Yes,0.0,Pine Ridge,Pine Ridge Reservation,,,From Original List,,,,,,,,,,,,,
1544,1544,COMMON CENTS GROC,COMMON CENTS STORE,COMMON CENTS STORE,INTERSECTION OF BIG FOOT TRAIL & BIA 2,2628 BIA 27,2628 BIA 27,PORCUPINE,Correct,PORCUPINE,SD,Correct,SD,57772,Correct,57772.0,43.3896368,43.38991499999999,43.38991499999999,-102.3696848,-102.39922299999999,-102.39922299999999,"INTERSECTION OF BIG FOOT TRAIL & BIA 2 PO BOX 83 PORCUPINE, SD 57772","2628 BIA 27, Porcupine, SD 57772, USA","2628 BIA 27, Porcupine, SD 57772, USA",,Correct,SHANNON,PO BOX 83,Google,1544.0,1.0,yes,Active,POINT (-102.399223 43.38991499999999),Yes,0.0,Pine Ridge,Pine Ridge Reservation,,,From Original List,,,,,,,,,,,,,
1545,1545,MUDDY CREEK GROUP DBA,Can't Validate,MUDDY CREEK GROUP DBA,HWY 18,Can't Validate,HWY 18,PINE RIDGE,Can't Validate,PINE RIDGE,SD,Can't Validate,SD,57770,Can't Validate,57770.0,43.62845562,Can't Validate,43.62845562,-102.9379517,Can't Validate,-102.9379517,"HWY 18  PINE RIDGE, SD 57770",Can't Validate,"HWY 18 PINE RIDGE, SD 57770",,Can't Validate,CUSTER,,Original,1545.0,,,Can't Validate,POINT (-102.9379517 43.62845562),No,0.3600655599432268,,,Pine Ridge,Pine Ridge Reservation,From Original List,,,,,,,,,,,,,
1546,1546,EAGLE STOP,Correct,EAGLE STOP,HWY 212 & MAIN ST,US-212,US-212,EAGLE BUTTE,Correct,EAGLE BUTTE,SD,Correct,SD,57625,Correct,57625.0,45.0081,45.00835399999999,45.00835399999999,-101.2348,-101.234052,-101.234052,"HWY 212 & MAIN ST  EAGLE BUTTE, SD 57625","US-212, Eagle Butte, SD 57625, USA","US-212, Eagle Butte, SD 57625, USA",,Correct,DEWEY,,Original,1546.0,,,Active,POINT (-101.234052 45.00835399999999),Yes,0.0,Cheyenne River,Cheyenne River Reservation,,,From Original List,,,,,,UB153005,"DAKOTAMART, INC.",Not found,Not found,Not found,Not found,Not found,https://sosenterprise.sd.gov/BusinessServices/Business/FictitiousDetail.aspx?CN=228138094139039126157199210198025106220021149046
1547,1547,CENEX 2,Correct,CENEX 2,HWY 212 & N.70,170 US-212,170 US-212,DUPREE,Correct,DUPREE,SD,Correct,SD,57623,Correct,57623.0,45.053275,45.053275,45.053275,-101.6066533,-101.60665329999999,-101.60665329999999,"HWY 212 & N.70  DUPREE, SD 57623","170 US-212, Dupree, SD 57623, USA","170 US-212, Dupree, SD 57623, USA",,Correct,ZIEBACH,,Google,1547.0,,,Active,POINT (-101.6066533 45.053275),Yes,0.0,Cheyenne River,Cheyenne River Reservation,,,From Original List,,,,,,,,,,,,,https://sosenterprise.sd.gov/BusinessServices/Business/FilingDetail.aspx?CN=113122010204129225064010178202181190083005186112
